,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39447178467,1.25328111995,1.48500529725,1.31036629129,1.32231714909,0.517610796331,0.961525745884,0.0,1.34315003666,1.69082366858,1.69607445752,1.12460486894,1.16717230649,1.68261075034,0.755085762282,1.67914367908,1.19114841221,1.488585481,0.749635400426,1.15837693297,0.719254109606,1.11710592235,2.04088088164,1.81822140994,1.59900908072,1.21033033235,0.695294024441,1.22244357451,1.50212373406,1.17350616382,0.0,2.10862223847,1.70168485987,1.10460294215,1.26836794644,1.55720525066,1.09132446353,0.60452230622,0.556926661187,1.99967587375,1.79552976937,1.21689753893,1.3476664942,1.74554583046,1.0165370724,2.00758815872,0.883186090168,1.12021505944,1.55620216428,1.28168772789,1.22961452734,0.903906482643,0.849999892323,1.11090574684,1.19843584361,1.42266117404,1.77962253032,1.8268260531,0.6031405769,0.622509279969,0.999034539061,1.71413709546,0.560636141483,1.00658847949,1.21557970291,1.99426076085,1.78172519385,1.61066256224,1.44413747106,1.75755183623,1.8481588636,0.938897424103,1.5895183691,1.53151952679,1.49365197375,1.20551675183,0.440116487482,0.988514272459,1.47449626873,1.00377744254,1.07703179591,1.10828825846,0.778012318525,0.654606280282,1.82482441549,1.17923944091,1.31585218096,1.74154196439,1.35387756871,0.988487181089,1.41906373212,1.72049884977,1.27729570768,1.59198191924,1.1719574795,1.83819066274,1.92533375677,0.857916638218,1.80744415229,2.06653556671,1.61300125618,1.19809538609,1.1517344846,1.65124648573,2.19748454354,1.92141456705,1.16212293798,0.801136233585,1.48811981581,1.58318682806,0.992948541855,1.34982986411,0.854897850022,1.30482936539,0.424687436344,1.0636267704,1.33609825408,1.53433155591,1.04994319717,1.73638429388,1.55660680464,1.24331931726,0.874227675889,1.51541763035,1.95891077352,2.60961505701
250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55484070297,1.89424695168,1.47336454888,1.58707068055,1.34126647694,1.17131445886,1.46224706999,0.0,1.55145089657,1.82258009639,2.20174589631,1.26972321271,1.71221447656,1.5249786143,2.01228162769,1.02599887091,1.05795868275,2.02435584152,2.00335776314,1.3056506312,1.49451152268,1.93252608067,1.87144041917,2.11171385562,1.27890481615,1.07595834824,1.78277909948,0.684701848927,1.90681799678,0.650564522397,1.63033680136,2.07072726997,1.54331595165,1.24840772675,1.13054603549,1.77822353712,1.62129138167,1.11346264099,1.23755166094,1.62483220986,0.934562148249,1.58962115104,1.65033491214,0.678273716951,1.22753491472,1.63218312764,0.772177098612,0.75628074646,1.54432578682,1.51749701621,0.0,0.791198826383,1.57873964545,0.748957171798,0.885906655588,1.81943992272,2.02458625302,1.66394456346,2.13713068271,1.51391511403,1.77987806405,1.94281519319,1.67143683652,1.4645345144,1.58813069741,1.74680019532,1.53678885094,1.45593443313,1.5138430241,1.40202717383,0.901526880597,1.48355302775,0.588135492943,1.26714045813,1.21261455659,1.35567238266,0.374212747673,0.86919711176,1.04506097318,1.34491067242,0.722432498806,0.980456708626,0.895847097577,0.564628858616,0.667247716267,0.379891793981,1.30484314321,1.48927222802,0.664307691551,1.7257000944,1.4076567028,1.56141618694,1.29593090856,1.1922838843,1.43532054505,0.833569600424,1.2872016892,1.69740014388,1.64522645396,1.78408264433,2.02765088679,1.90180150943,1.51560415219,1.9357425336,1.02657965894,1.55235060195,1.3096308957,0.921127257008,0.754157469174,0.951101427487,0.657450332096,0.941314099515,0.746260652419,0.365436271177,1.28259316248,0.711989935561,1.19448164544,1.38291119466,0.926140978511,0.672817551923,0.801508504286,0.699416984199,0.763963175813,1.07957784424,1.25281710989,1.05765278469
1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46955832114,1.6374099613,1.39010384581,1.3833578538,0.923756195823,1.38460886647,1.69708791879,0.0,1.79166458139,1.64579607085,2.5489777961,2.42706194168,2.37670738647,2.65974611878,2.76863083764,2.65578443402,2.61315107014,1.79985114316,2.67770452669,2.47239748541,2.43874708506,2.75681960315,1.99277369659,1.44806329267,1.82921620762,2.07064849591,1.46448090103,1.29304292814,2.42260943726,2.49253985924,2.22788579219,2.19580874218,2.59301937464,2.49620590542,2.02550532363,1.46027120861,1.86537160657,1.32160502861,1.63176617117,1.98316120392,1.12453874139,0.504273887941,1.56287897223,1.28362095417,1.71231430521,1.2152733025,1.20852075669,0.924175128173,1.24622593428,0.0,1.30041722246,0.593761143222,0.553469066921,0.559298080329,0.0,0.45685202478,1.11167937455,1.26910828162,1.71711566123,2.03757808054,2.34830034398,2.08360839826,2.03312329854,1.26836608992,1.28598307661,0.821368964628,1.45194063566,0.816819639467,1.02495828525,0.777870746672,1.28741399829,0.452904074106,0.43063860668,0.452084282463,1.0666742563,1.44130248697,0.0,0.0,0.806199577703,0.492213925632,0.0,0.0,0.500531743106,0.0,0.493412369244,1.05223565958,0.790415578167,1.49576247902,0.491061350934,1.41184270503,1.32614732993,1.56803758404,0.886895082322,0.803826914061,1.04539310586,1.20395269412,1.37080984236,1.94538235265,2.50522009431,2.352873848,2.72065370884,2.15884651527,1.88282672114,0.845299436296,0.589406075171,1.35068808999,1.03615678765,0.517426192008,0.92176114186,0.0,0.811038921419,1.13204351865,0.912777005963,0.465703999069,0.0,0.873672834018,1.20032577198,0.849504866015,0.520793554464,0.497870223812,0.0,0.519227151883,0.571510083792,0.0,1.17590531173,0.0
1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31779172659,1.38837744,2.1272217913,1.23598921524,1.24760126982,1.62460924358,1.76763838079,0.0,1.11270321035,1.71554199158,2.2582523597,2.60266101837,1.84401220321,2.55327789477,2.05164093615,2.44128582031,2.06517605931,0.865059414513,2.46281397734,2.18394633256,2.51726759033,2.49528436455,2.06722788268,1.69243698422,1.74876149788,1.56341141881,1.22825508884,2.40529076768,1.33466111422,2.04299597225,1.70667986153,2.83049417989,2.34507027964,1.95536648238,1.81165751681,1.52673031543,1.21750090554,1.38516810213,1.85272608746,1.26973526365,1.18321075693,1.52003016098,1.11680708815,1.51601767157,1.6565790415,1.00147196851,0.616753954586,1.24809646873,1.52573551292,0.0,0.898097351445,1.01765400921,1.22856248479,1.23824341089,0.0,0.489145376444,1.16999648089,1.33146323704,2.2984908229,2.11252833653,2.33054844843,2.64874871605,1.86003739631,1.77010724248,1.5185672434,1.12538059916,1.21672552166,1.1198923208,0.500150098583,0.49535267268,1.1453816823,0.810168192617,0.461473444195,0.484115363693,0.525960905342,0.877953647406,1.09677196297,0.85550524462,0.515902910504,1.12445617325,0.0,0.965716198958,1.13885923788,0.441970342813,1.32970797776,0.516980919008,0.504433195664,1.79677764045,1.49379625988,0.516560468066,1.38981186743,1.12119871733,1.4135898759,0.852080178283,0.0,1.69536722921,1.07189712877,1.77490370566,2.32136366671,2.51802730498,2.16677777527,2.41605849997,1.95596386919,1.35973773483,1.68154924978,0.939234655423,0.0,0.906931551057,0.601356510011,1.41165004651,0.519429365206,0.763164773507,0.594621586849,0.0,0.0,0.924497880902,0.611383175637,1.53594083365,0.0,0.532366445409,1.02968555785,0.554833226843,0.0,0.537500290301,0.0,1.32265780642
1750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49378965901,1.51764640882,1.41374351243,1.57987051336,0.942781687452,1.19889797916,1.87488169186,0.0,1.27517934783,1.52577589462,2.20971765726,2.86639948302,2.28447346316,2.13788806375,2.530473848,1.55283581441,2.64224346278,2.17638227777,2.78837280806,2.68679809983,2.65253890061,2.08248615215,1.45134212757,1.9282496013,1.52541420609,1.52068503446,2.31746690744,2.68378387431,1.60461817614,0.820527525469,2.72392243477,1.63332036279,1.99905319303,2.52501687106,2.05278219321,1.66119395974,2.04880851754,1.06172172261,2.05287415843,1.4428243998,0.539416194316,1.47781628362,0.831852782595,1.74264467737,1.73808597599,1.44981670988,1.23061650742,1.41982652125,0.994758156363,1.59981631294,0.866240159724,1.25557073731,0.92649897006,0.572852086074,0.840779547987,0.7862204057,0.876697107598,0.841384625912,1.89563363081,2.382786988,2.68628838785,2.11111606537,1.66408631216,1.45757653016,1.95708448299,1.45522605407,1.17877911172,1.59139540083,1.04517740447,0.794945403782,1.31021539784,0.464439446603,0.747052857204,0.0,0.0,1.09773857376,0.0,0.495002231602,0.0,1.08808190495,0.0,0.0,0.512997862746,0.719171588843,0.0,0.825176652115,0.483251549249,0.467191641812,0.836595450508,1.435648985,0.538630091947,0.835541091049,0.905454511537,1.26603755572,0.0,0.790181282647,1.39429861643,1.58249283244,2.27247386619,2.06346566677,1.87039410912,2.51919542926,1.90947616194,2.06115009348,0.977193150396,0.552618196083,0.0,1.503290465,0.0,0.550800879104,0.828582777786,0.0,0.570621855503,0.477493975182,0.790797937258,0.892060783238,1.22234499727,1.12222757318,0.879735745711,0.510285557957,0.616521017346,0.0,0.0,0.853621992272,0.768362439445,0.0
2000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19169498394,1.21930734693,1.92564606959,1.44129773091,1.45378699114,2.24093030324,1.40616725556,0.0,1.67108995921,2.24434265652,1.26598815745,1.60213007512,1.42651147674,2.23533698424,1.44106494024,1.64036820094,1.15805974731,1.86418765991,1.43320614319,2.23328313803,2.08265045012,1.77489709515,1.71563048184,1.65188342034,1.83560823844,1.17696254958,1.90866147986,1.90340325374,1.69328537285,1.4334968847,0.784780290038,1.19377360891,2.25624131897,1.57843160686,2.11706909942,1.51960475433,1.89569522039,1.99230677071,1.34594517148,1.47756290724,1.52407031098,1.80788557515,1.67605134196,0.989716382728,2.17989427133,1.11448432549,0.85537971405,0.838384237538,0.886389389372,0.602679957188,1.49518307038,0.0,1.26808034198,0.0,0.439334045252,1.50432474396,1.01575985129,1.87527414265,2.09214784857,2.308112986,2.02045743286,1.49766765375,1.52239410583,1.32400764942,1.80632011333,1.57898237505,1.21032091238,1.5725294376,1.27321756809,1.10949878184,0.9930135965,0.687918756139,0.0,0.0,0.740645987477,1.17221844922,0.423329911323,0.429258161745,0.0,0.741222994404,0.802132249581,1.07646745856,0.0,1.0160747799,0.438864164665,1.14632663626,1.12502904009,1.38397514882,0.739670587098,1.14561600094,1.3829774663,1.15889740188,1.67061899116,0.955044951621,0.425941038097,0.407998562866,1.88457780454,1.07912612729,2.37148446678,1.78022599703,1.40216667681,1.37138996538,1.87180774612,1.90773643047,1.64109788431,1.5486973539,0.944102105338,0.775028043944,0.0,1.04547350293,0.0,0.0,0.0,1.40455469675,0.408376765118,0.471704494454,1.30102591888,1.35843486424,0.0,0.0,0.538562806701,0.462436634115,0.0,0.755383115279,0.0,1.1577382508
2250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90726728149,0.946569119812,1.49152359316,1.71392476656,1.91427612804,1.60713897189,1.749591778,0.0,2.25811948942,1.29625060931,1.9440312851,1.6804309955,1.55166887455,1.87499130162,2.03266689125,2.0033036067,1.57905655759,1.91196663098,0.0,1.32283240694,1.84197968974,1.27863256065,2.36542711339,1.78451495768,1.73078631793,1.29152555475,0.61193226612,1.39119707316,2.28256951102,1.33900323159,1.64927266779,1.80304620043,1.34173518369,1.80627346312,2.33258661276,2.21745723198,2.03467989587,1.88443800748,1.25428706361,1.52129354476,1.99216804852,2.01374293457,1.47046775651,2.07377627431,1.86165269083,1.76038740535,1.38137965371,0.456541292262,0.487803517103,1.15916359015,0.701522509372,0.480792098861,0.989063681854,1.18863265355,0.0,0.632270267546,1.63726045096,1.84933464621,1.64369382132,1.36174533447,1.15142757923,0.928267641492,2.28696330579,1.68219077827,1.94315807987,1.36335469747,1.97786925827,1.7594979857,0.374010037218,1.61588244177,1.25188123703,1.00971039851,0.343469427654,0.626173825619,0.0,0.905799531177,0.657142159522,0.882907625093,0.664592889528,1.22995877529,0.734587543851,0.450070974746,0.401873305301,0.93753020876,0.678755617017,1.65975270424,0.865205836823,0.630673033801,1.36012927122,1.82435819315,1.83517513727,1.47549427485,1.77350995523,1.05755287013,1.45327210026,1.16961937471,1.91948696847,1.98484382926,1.90342093216,1.36052029522,1.30866025252,1.5869746929,1.76623981181,1.61874625508,1.23705550684,1.156171574,0.869011685391,1.5286957085,1.35621080472,0.734392477475,0.389325800655,0.0,0.0,1.03194471159,0.367870414136,0.426156098863,1.01791717656,0.927722459966,0.41892833741,0.684392419229,0.0,0.417607885279,0.461854540432,0.0,0.995625509024,0.674037426771
