chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	120740000	121360000	1	120740000	121360000	255,255,0	0.66255	0.36108	0.34074	0.49532	0.57024
1	104330000	106930000	1	104330000	106930000	255,255,0	0.44089	0.34166	0.27985	0.51278	0.4429
1	101950000	104140000	1	101950000	104140000	255,255,0	0.59225	0.34728	0.24742	0.595	0.47056
1	101960000	103790000	1	101960000	103790000	255,255,0	1.067	0.18512	0.30434	0.79611	0.5694
1	152470000	153270000	1	152470000	153270000	255,255,0	0.75464	0.13764	0.21023	0.42812	0.73188
1	68970000	70250000	1	68970000	70250000	255,255,0	1.092	0.11395	0.13945	0.82886	0.60645
1	49390000	50790000	1	49390000	50790000	255,255,0	1.4195	0.11726	0.11223	0.81327	0.87918
1	152610000	153230000	1	152610000	153230000	255,255,0	0.93387	0.11906	0.10445	0.42768	0.84287
1	242190000	243180000	1	242190000	243180000	255,255,0	1.3811	0.092181	0.12273	0.7902	0.84367
1	118520000	119520000	1	118520000	119520000	255,255,0	0.97246	0.093075	0.11777	0.8332	0.434
1	226710000	227110000	1	226710000	227110000	255,255,0	0.81516	0.12588	0.074053	0.5425	0.6225
1	228940000	229290000	1	228940000	229290000	255,255,0	0.82617	0.14104	0.058853	0.55882	0.59804
1	48530000	49290000	1	48530000	49290000	255,255,0	0.77392	0.096753	0.10295	0.57133	0.57153
1	170060000	170900000	1	170060000	170900000	255,255,0	1.1611	0.12053	0.079042	0.60147	0.81689
1	205730000	205930000	1	205730000	205930000	255,255,0	1.2407	0.034718	0.16474	0.57	0.79
1	76630000	77340000	1	76630000	77340000	255,255,0	0.73763	0.087134	0.1122	0.50556	0.51984
1	218460000	220010000	1	218460000	220010000	255,255,0	1.7239	0.08541	0.11387	0.9374	0.87463
1	93480000	94350000	1	93480000	94350000	255,255,0	1.0878	0.10326	0.096016	0.55761	0.82188
1	76600000	77600000	1	76600000	77600000	255,255,0	1.2224	0.11908	0.080018	0.5868	0.8692
1	60630000	61270000	1	60630000	61270000	255,255,0	0.8577	0.11902	0.080083	0.52637	0.70898
1	57290000	58590000	1	57290000	58590000	255,255,0	1.5406	0.070177	0.12888	0.94533	0.83314
1	64230000	64630000	1	64230000	64630000	255,255,0	0.98198	0.095139	0.10391	0.575	0.7525
1	168580000	169350000	1	168580000	169350000	255,255,0	1.2886	0.10695	0.091896	0.71823	0.82206
1	99190000	100220000	1	99190000	100220000	255,255,0	1.4558	0.12033	0.078172	0.76659	0.90535
1	221630000	222470000	1	221630000	222470000	255,255,0	1.0701	0.052531	0.14577	0.87018	0.54478
1	21540000	21700000	1	21540000	21700000	255,255,0	1.0583	0.1291	0.069117	0.64062	0.64062
1	151270000	151700000	1	151270000	151700000	255,255,0	0.77169	0.094376	0.10363	0.50433	0.58225
1	114500000	115250000	1	114500000	115250000	255,255,0	1.0684	0.10144	0.096457	0.72617	0.65363
1	165990000	166760000	1	165990000	166760000	255,255,0	0.89068	0.10798	0.089913	0.58112	0.6168
1	84350000	85260000	1	84350000	85260000	255,255,0	1.4681	0.085413	0.11222	0.91981	0.70676
1	86840000	87570000	1	86840000	87570000	255,255,0	1.0191	0.097234	0.099555	0.51126	0.78153
1	217970000	218330000	1	217970000	218330000	255,255,0	1.0716	0.069264	0.1275	0.70679	0.73765
1	218470000	219860000	1	218470000	219860000	255,255,0	1.6511	0.06508	0.13118	0.96301	0.78115
1	228310000	228620000	1	228310000	228620000	255,255,0	1.2011	0.059609	0.13661	0.8875	0.65417
1	101470000	101760000	1	101470000	101760000	255,255,0	1.2163	0.12846	0.066938	0.5381	0.89048
1	20830000	21000000	1	20830000	21000000	255,255,0	1.1635	0.098138	0.096539	0.70833	0.68056
1	192430000	192590000	1	192430000	192590000	255,255,0	0.96296	0.13733	0.057201	0.64062	0.54688
1	91040000	91640000	1	91040000	91640000	255,255,0	0.89034	0.072845	0.12144	0.52778	0.67
1	109070000	109220000	1	109070000	109220000	255,255,0	0.80469	0.14427	0.050002	0.53571	0.58929
1	213560000	214110000	1	213560000	214110000	255,255,0	0.89555	0.091269	0.10211	0.65741	0.60979
1	147190000	147350000	1	147190000	147350000	255,255,0	0.90064	0.030368	0.16254	0.67188	0.59375
1	208520000	209360000	1	208520000	209360000	255,255,0	0.55889	0.10807	0.084835	0.46982	0.42302
1	216920000	217940000	1	216920000	217940000	255,255,0	1.0813	0.066675	0.1255	0.71665	0.72664
1	144910000	145110000	1	144910000	145110000	255,255,0	1.2183	0.14503	0.046723	0.73	0.79
1	197470000	198680000	1	197470000	198680000	255,255,0	1.5059	0.10629	0.084554	0.88962	0.84809
1	9670000	10420000	1	9670000	10420000	255,255,0	0.98123	0.085831	0.10484	0.59673	0.71622
1	2120000	2330000	1	2120000	2330000	255,255,0	1.4808	0.091777	0.098569	0.80909	0.80909
1	150280000	150980000	1	150280000	150980000	255,255,0	1.4045	0.11819	0.071739	0.76408	0.91592
1	149840000	150210000	1	149840000	150210000	255,255,0	1.5435	0.11684	0.072917	0.88596	0.81579
1	199660000	200510000	1	199660000	200510000	255,255,0	1.2459	0.10613	0.083607	0.62811	0.89117
1	120490000	120700000	1	120490000	120700000	255,255,0	1.3512	0.036769	0.15246	0.53636	0.80909
1	24970000	25180000	1	24970000	25180000	255,255,0	1.5138	0.088644	0.10056	0.80909	0.79091
1	76320000	77600000	1	76320000	77600000	255,255,0	1.5655	0.10226	0.086433	0.84985	0.88794
1	27270000	28050000	1	27270000	28050000	255,255,0	1.255	0.086007	0.10191	0.80473	0.73636
1	212630000	213210000	1	212630000	213210000	255,255,0	1.1317	0.085115	0.10274	0.6302	0.81094
1	34100000	35220000	1	34100000	35220000	255,255,0	1.7705	0.093197	0.094244	0.92985	0.92283
1	16390000	16740000	1	16390000	16740000	255,255,0	0.78434	0.08812	0.099077	0.50654	0.56536
1	24080000	24250000	1	24080000	24250000	255,255,0	0.80397	0.03894	0.14823	0.625	0.54167
1	92420000	93150000	1	92420000	93150000	255,255,0	0.84719	0.087931	0.098926	0.58784	0.59685
1	8940000	9650000	1	8940000	9650000	255,255,0	1.0234	0.10138	0.084592	0.57222	0.78492
1	20210000	20830000	1	20210000	20830000	255,255,0	1.5038	0.10586	0.079946	0.74714	0.92196
1	179340000	179660000	1	179340000	179660000	255,255,0	0.72128	0.10738	0.078282	0.54297	0.50391
1	19260000	19420000	1	19260000	19420000	255,255,0	1.1433	0.12099	0.063667	0.66347	0.67192
1	201830000	201960000	1	201830000	201960000	255,255,0	0.77994	0.090426	0.093749	0.54464	0.50893
1	145430000	145600000	1	145430000	145600000	255,255,0	1.1143	0.13508	0.048654	0.66889	0.6794
1	245230000	246670000	1	245230000	246670000	255,255,0	1.8086	0.088951	0.09384	0.93152	0.93113
1	158180000	159060000	1	158180000	159060000	255,255,0	1.3637	0.10021	0.082423	0.8032	0.85072
1	201960000	202120000	1	201960000	202120000	255,255,0	1.0272	0.078914	0.10328	0.60938	0.67188
1	196070000	196680000	1	196070000	196680000	255,255,0	1.1091	0.094317	0.087299	0.63978	0.78817
1	234620000	235200000	1	234620000	235200000	255,255,0	1.7457	0.073019	0.10811	0.94174	0.84423
1	165130000	165570000	1	165130000	165570000	255,255,0	1.0323	0.072456	0.10864	0.65909	0.67562
1	227660000	228270000	1	227660000	228270000	255,255,0	1.2532	0.07198	0.10885	0.84409	0.76667
1	161140000	161370000	1	161140000	161370000	255,255,0	1.5397	0.076142	0.10464	0.82576	0.82576
1	39550000	40040000	1	39550000	40040000	255,255,0	1.2693	0.092946	0.087447	0.89167	0.64167
1	235370000	235630000	1	235370000	235630000	255,255,0	1.4568	0.11528	0.064633	0.83642	0.86761
1	202120000	202980000	1	202120000	202980000	255,255,0	1.2563	0.090643	0.088849	0.83288	0.72255
1	145120000	145310000	1	145120000	145310000	255,255,0	1.2152	0.063891	0.11534	0.74444	0.7
1	31190000	31410000	1	31190000	31410000	255,255,0	1.4315	0.098431	0.080591	0.82645	0.7438
1	47850000	48410000	1	47850000	48410000	255,255,0	0.75229	0.10111	0.077587	0.5523	0.51148
1	153760000	153960000	1	153760000	153960000	255,255,0	1.179	0.079767	0.098673	0.7075	0.67179
1	234860000	235190000	1	234860000	235190000	255,255,0	0.93194	0.035283	0.14262	0.62418	0.6777
1	66710000	67200000	1	66710000	67200000	255,255,0	1.0589	0.11082	0.066015	0.565	0.86833
1	223930000	224260000	1	223930000	224260000	255,255,0	1.0646	0.11944	0.056971	0.81456	0.52139
1	229770000	230450000	1	229770000	230450000	255,255,0	1.5616	0.093313	0.082933	0.8763	0.87457
1	151850000	152010000	1	151850000	152010000	255,255,0	1.0066	0.048507	0.1273	0.54688	0.67188
1	110670000	111050000	1	110670000	111050000	255,255,0	1.4944	0.11505	0.06067	0.759	0.89751
1	110080000	110320000	1	110080000	110320000	255,255,0	0.90321	0.10482	0.069539	0.60417	0.65972
1	213290000	214360000	1	213290000	214360000	255,255,0	1.8022	0.090538	0.083725	0.93047	0.94514
1	90260000	90470000	1	90260000	90470000	255,255,0	1.4792	0.060992	0.11268	0.80909	0.80909
1	6050000	6540000	1	6050000	6540000	255,255,0	0.98149	0.077557	0.095398	0.63833	0.705
1	201820000	202120000	1	201820000	202120000	255,255,0	0.75412	0.075186	0.097764	0.56889	0.53333
1	55570000	57190000	1	55570000	57190000	255,255,0	1.7663	0.078416	0.094462	0.94498	0.90596
1	235660000	236220000	1	235660000	236220000	255,255,0	1.4656	0.087034	0.084363	0.80995	0.86352
1	153970000	154130000	1	153970000	154130000	255,255,0	1.0872	0.10091	0.070055	0.67188	0.64062
1	233500000	234210000	1	233500000	234210000	255,255,0	1.6479	0.077999	0.092936	0.9373	0.90556
1	241680000	242170000	1	241680000	242170000	255,255,0	1.1382	0.060184	0.10998	0.87167	0.555
1	87590000	88590000	1	87590000	88590000	255,255,0	1.5193	0.075838	0.094084	0.922	0.7732
1	94370000	94870000	1	94370000	94870000	255,255,0	1.4374	0.075581	0.093597	0.88	0.7552
1	228780000	229640000	1	228780000	229640000	255,255,0	1.7711	0.055302	0.11316	0.97134	0.84262
1	17380000	17730000	1	17380000	17730000	255,255,0	1.5486	0.10496	0.063259	0.87255	0.89216
1	25560000	26150000	1	25560000	26150000	255,255,0	1.2423	0.070037	0.097856	0.81494	0.7092
1	63280000	64010000	1	63280000	64010000	255,255,0	1.2749	0.080776	0.087115	0.83258	0.78904
1	12160000	12300000	1	12160000	12300000	255,255,0	0.84567	0.067576	0.10003	0.53061	0.57143
1	165600000	165900000	1	165600000	165900000	255,255,0	1.472	0.077823	0.089308	0.75556	0.83556
1	108330000	108680000	1	108330000	108680000	255,255,0	1.3306	0.047417	0.11938	0.81373	0.83007
1	217940000	218450000	1	217940000	218450000	255,255,0	1.2762	0.080324	0.085638	0.64769	0.90615
