,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000,115250000,115500000,115750000,116000000,116250000,116500000,116750000,117000000,117250000,117500000,117750000,118000000,118250000,118500000,118750000,119000000,119250000,119500000,119750000,120000000,120250000,120500000,120750000,121000000,121250000,121500000,121750000,122000000,122250000,122500000,122750000,123000000,123250000,123500000,123750000,124000000,124250000,124500000,124750000,125000000,125250000,125500000,125750000,126000000,126250000,126500000,126750000,127000000,127250000,127500000,127750000,128000000,128250000,128500000,128750000,129000000,129250000,129500000,129750000,130000000,130250000,130500000,130750000,131000000,131250000,131500000,131750000,132000000,132250000,132500000,132750000,133000000,133250000,133500000,133750000,134000000,134250000,134500000,134750000,135000000
CEBPB,2,4,6,7,2,3,4,3,6,2,3,7,14,3,3,12,5,1,1,7,9,5,8,2,3,8,4,3,3,1,5,10,7,2,10,12,9,11,11,9,9,22,13,17,3,8,5,13,44,14,19,20,10,11,5,1,1,19,4,5,6,4,4,12,7,6,7,4,7,8,1,6,4,11,7,3,4,16,12,10,12,5,1,1,1,1,1,1,0,3,4,8,4,7,4,13,4,7,6,5,2,5,2,0,6,11,3,12,5,15,18,10,16,9,8,10,15,12,3,1,2,1,5,4,2,8,4,1,11,5,6,8,12,9,21,7,8,13,13,9,25,19,23,7,10,13,6,1,2,5,5,4,1,1,0,3,3,0,1,0,3,5,2,1,2,0,3,1,0,1,1,1,1,5,3,13,10,5,8,9,5,5,3,10,9,17,9,5,8,14,12,15,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,5,19,12,2,7,5,12,4,6,2,14,8,0,3,1,5,3,6,6,16,7,9,10,11,1,2,12,8,4,10,4,14,11,25,4,11,9,7,6,12,8,8,7,2,7,4,8,7,14,8,5,2,6,9,6,3,4,12,1,3,17,8,9,18,11,13,8,10,13,9,17,6,6,8,11,7,7,9,13,6,7,6,10,6,13,9,9,4,7,5,1,6,5,0,2,4,0,2,3,0,3,2,4,5,9,1,7,1,4,3,0,8,2,1,15,15,14,10,17,8,3,6,2,4,3,14,9,3,3,5,1,0,3,1,3,3,7,3,1,3,1,1,2,6,11,3,14,5,13,3,13,12,7,9,12,18,30,9,1,0,2,1,1,2,4,1,0,1,2,4,5,6,0,1,3,7,5,1,9,8,14,21,12,14,9,7,9,13,10,10,7,7,9,13,8,6,13,8,9,6,2,1,9,8,5,8,8,9,10,2,6,5,9,13,16,10,14,6,15,12,20,19,1,1,3,3,3,3,3,15,13,1,2,18,9,4,4,1,1,6,22,4,4,3,2,6,9,6,8,15,11,3,2,9,13,4,2,3,6,10,26,17,6,17,11,20,12,5,0,4,7,5,11,8,7,3,3,10,8,8,11,4,2,4,8,10,38,12,6,9,4,9,8,7,14,18,11,1,1,8,15,3,4,6,4,2,0,1,5,10,2,1,3,0
CHD1,1,1,8,5,2,1,2,3,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,2,0,0,0,0,1,3,1,0,3,0,2,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,2,0,2,0,2,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,1,0,2,0,0,0,0,1,1,3,1,6,0,1,5,2,0,0,0,2,4,2,1,6,5,10,4,5,0,5,0,4,0,5,1,0,2,2,0,1,1,0,2,1,0,2,0,1,1,1,0,2,0,0,1,1,2,4,2,1,0,0,3,0,3,3,2,0,0,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,4,1,0,1,0,3,1,3,1,0,1,1,2,2,1,0,0,1,1,0,1,2,1,1,2,0,0,0,0,1,2,1,0,1,0,2,0,0,0,4,0,0,0,1,0,2,1,0,0,0,0,4,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CTCF,3,14,9,17,4,8,12,11,17,7,3,15,13,5,3,9,7,0,6,2,5,4,4,2,2,12,11,5,3,3,6,2,13,5,4,8,7,3,5,5,4,7,5,10,8,4,1,10,16,10,6,10,4,8,4,5,2,9,1,7,8,3,4,8,3,1,3,6,2,7,6,11,9,3,5,6,3,5,4,12,3,8,3,0,0,0,0,0,2,5,3,4,2,0,1,1,0,2,1,2,0,0,0,2,3,5,4,2,5,2,16,1,0,1,4,0,3,7,2,0,3,3,0,4,1,4,2,3,6,7,3,6,4,5,5,6,7,4,5,6,2,8,8,3,7,6,9,4,1,1,3,1,0,0,0,2,0,1,0,0,1,3,1,0,1,2,1,0,0,0,2,1,0,4,10,13,9,5,12,12,8,8,1,7,4,20,8,8,5,15,4,3,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,5,13,12,4,2,1,9,8,15,2,6,4,3,5,5,12,4,12,20,14,8,10,13,12,5,1,8,13,14,18,8,15,13,18,15,17,8,22,8,6,9,20,14,4,10,5,6,7,12,2,7,9,10,10,7,3,4,5,3,7,9,11,13,10,7,15,6,4,4,9,12,7,8,11,9,3,6,7,8,8,16,4,5,3,3,5,5,4,9,7,2,0,2,1,0,1,1,1,2,0,1,1,6,4,4,2,2,4,0,3,4,2,1,0,4,5,6,7,6,10,3,4,1,2,2,3,2,1,1,2,3,0,4,3,0,1,2,1,0,0,3,2,2,3,9,0,4,5,3,3,7,4,7,0,3,6,7,6,0,1,0,1,1,0,1,0,0,0,1,0,0,3,0,1,3,5,3,0,4,6,6,9,6,8,7,4,4,4,2,6,2,1,2,0,2,2,2,8,1,1,2,0,7,5,7,2,0,7,1,0,2,4,4,6,7,2,1,3,15,6,7,6,3,1,1,4,1,5,5,7,6,3,0,6,8,2,3,6,4,7,6,10,3,7,2,5,7,10,18,16,9,8,4,14,5,4,8,5,4,6,4,4,5,12,7,9,10,4,3,2,3,14,10,8,7,3,7,5,6,5,6,1,2,2,2,5,6,11,6,6,0,5,4,2,7,3,9,2,3,10,7,5,4,1,5,2,0,0,8,6,0,1,4,0
DNase-seq,10,28,30,38,13,17,12,17,18,17,8,34,25,8,10,30,20,1,13,6,7,19,17,2,4,28,31,14,10,1,19,12,25,6,30,44,27,17,34,36,20,48,44,30,6,17,14,31,75,52,51,48,18,29,5,6,11,41,9,9,23,3,16,28,16,17,10,15,15,21,6,26,13,16,18,10,11,21,30,43,32,10,2,0,0,0,0,0,0,9,7,12,16,12,10,20,9,12,10,3,1,1,0,0,10,14,2,18,21,27,37,21,20,15,27,23,18,22,1,0,3,6,4,11,0,8,11,9,20,8,7,6,29,25,39,21,27,25,22,8,53,44,54,19,39,38,13,2,0,1,6,4,1,0,2,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,14,29,26,8,25,28,22,12,4,23,22,45,31,25,31,29,26,30,34,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,39,28,17,11,12,20,14,22,3,17,10,1,1,0,32,14,31,30,40,13,20,42,27,2,2,29,32,22,24,14,34,28,59,41,32,28,30,19,32,27,41,18,8,27,24,15,26,32,24,29,13,27,28,15,7,9,15,5,19,27,23,25,38,24,46,18,31,30,28,42,23,16,40,31,22,16,16,41,21,35,20,21,26,31,21,25,26,40,24,1,10,6,2,2,1,0,0,0,0,0,0,3,15,23,2,8,9,1,4,2,3,7,1,24,30,29,27,44,31,10,17,0,4,10,32,18,7,5,11,3,0,7,0,0,0,9,2,0,2,5,16,5,11,22,3,20,13,31,10,23,36,17,8,22,34,55,30,0,2,0,0,0,4,4,0,0,0,1,2,4,2,0,0,12,37,13,1,20,15,16,39,31,29,24,13,27,26,29,8,15,12,14,19,8,5,23,8,19,8,4,0,16,21,16,14,12,20,31,3,4,8,24,27,26,22,26,25,41,31,37,34,8,3,0,10,10,9,2,27,8,4,1,25,27,20,12,3,4,23,33,33,10,7,5,9,27,14,37,31,28,14,2,38,25,11,10,7,18,28,48,47,8,54,19,41,27,7,4,8,11,32,29,28,26,5,16,39,23,29,23,1,3,7,15,32,59,38,19,21,0,9,26,13,56,47,22,4,3,22,49,16,7,16,10,0,0,0,18,15,0,4,4,0
EP300,0,4,2,6,6,2,3,3,3,2,2,11,6,0,1,3,0,0,0,0,0,8,3,0,0,2,6,0,1,0,1,4,2,0,8,20,4,2,8,12,3,29,16,7,3,5,0,5,30,19,18,8,7,2,0,1,2,9,2,0,4,0,6,9,4,1,4,0,1,1,0,3,0,5,3,0,0,13,11,3,11,1,0,0,0,0,0,0,0,1,0,2,2,3,0,5,2,1,1,2,0,0,0,0,2,1,0,5,2,6,7,5,3,4,7,8,8,8,0,0,0,1,0,2,0,0,2,0,5,1,0,0,3,2,6,0,4,7,7,3,18,9,18,0,3,10,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,2,6,5,4,0,0,3,5,14,4,3,9,6,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,3,5,3,7,0,5,0,5,3,0,0,0,4,2,4,3,9,1,6,14,8,0,0,3,1,3,4,2,6,3,24,11,12,4,11,2,10,4,10,2,0,6,5,2,3,11,10,9,2,8,6,1,1,5,4,0,1,10,0,1,3,4,9,2,3,7,3,8,5,0,7,7,1,2,1,13,3,1,3,2,5,5,4,2,6,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,4,1,6,4,10,5,0,5,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5,1,1,2,12,0,0,11,2,1,3,6,15,5,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,5,9,1,0,2,6,4,8,3,2,4,0,8,4,7,1,1,1,2,2,0,1,2,0,5,0,0,0,0,2,3,1,4,0,6,0,2,0,6,2,3,6,10,2,11,8,4,16,2,0,0,1,3,0,0,11,4,0,0,5,7,3,2,0,0,3,5,7,1,0,1,0,10,1,14,4,10,1,0,4,9,1,0,0,4,7,8,19,5,11,4,17,3,0,1,2,1,3,4,2,2,0,1,10,2,4,7,0,0,1,3,12,19,6,4,2,0,5,5,0,17,19,8,1,0,3,12,0,2,2,1,0,0,0,5,1,0,1,1,0
H2AK5ac,19,66,68,69,29,31,33,37,38,21,16,85,70,8,13,84,36,1,25,11,15,52,29,0,7,59,48,3,9,0,26,35,45,6,51,82,86,79,93,104,83,93,89,65,25,64,33,78,49,86,102,92,36,73,4,11,20,93,8,2,39,2,37,100,76,52,23,7,22,36,1,59,12,29,20,9,3,55,77,66,59,18,1,0,0,0,0,0,0,14,3,34,69,58,52,92,52,38,25,7,1,0,0,0,55,24,0,47,45,76,47,109,90,80,128,113,114,44,0,0,0,4,3,8,0,9,12,5,50,1,2,14,66,74,62,28,53,84,67,74,109,105,78,49,88,81,10,0,0,2,8,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,21,46,24,15,26,74,35,9,0,46,53,65,73,60,79,61,58,67,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,75,54,41,40,57,49,11,38,14,29,14,1,0,0,36,25,47,55,79,40,43,64,47,0,1,51,72,83,50,25,54,67,72,57,57,79,49,48,70,89,76,23,5,42,71,43,57,94,60,93,36,73,85,17,11,48,24,3,47,74,37,52,72,74,84,50,63,52,55,73,56,19,87,75,55,54,39,75,27,70,47,57,42,64,59,78,73,80,46,0,16,12,4,2,0,0,0,0,0,0,0,2,60,49,0,10,14,0,3,0,6,6,0,58,75,83,64,91,70,18,34,0,5,27,103,25,3,2,32,14,0,1,0,0,0,1,2,0,1,2,15,2,28,51,7,12,21,38,14,58,76,28,11,52,78,121,36,0,6,0,0,0,6,8,0,0,0,0,5,13,9,0,0,43,102,34,0,59,66,58,119,92,68,51,32,74,98,108,25,29,45,85,90,35,19,44,20,49,15,2,0,16,29,27,30,33,76,66,5,8,14,86,71,52,80,111,69,87,93,59,99,14,0,0,15,22,15,1,48,23,0,0,65,43,72,19,1,0,49,96,63,7,10,2,5,41,37,62,77,50,24,0,58,65,11,13,8,51,93,104,94,31,77,39,64,66,3,14,30,9,48,59,83,36,7,16,67,62,96,54,0,4,7,32,80,113,83,29,20,0,18,73,32,88,81,78,12,0,44,86,24,14,26,12,1,0,0,29,18,0,2,8,0
H2AK9ac,21,86,87,82,78,93,85,108,87,84,81,89,96,37,47,80,65,21,58,31,24,53,61,27,44,89,72,31,32,55,86,47,87,81,64,75,74,64,78,69,31,65,83,70,61,106,83,50,99,79,62,72,65,63,36,61,58,68,28,39,67,55,69,88,32,17,30,79,56,85,99,102,59,69,60,68,59,89,92,92,82,45,48,40,21,16,16,17,19,19,20,28,28,28,31,35,21,28,24,28,9,15,9,24,16,23,24,13,40,43,46,44,25,16,43,34,20,37,16,18,21,48,34,40,23,20,28,69,78,70,37,38,62,60,84,63,81,75,90,46,66,87,71,71,80,89,51,44,22,18,21,21,12,14,13,8,12,15,11,19,18,18,14,16,13,13,18,17,17,16,24,19,36,42,60,57,78,99,97,115,85,105,114,85,42,87,92,65,62,89,74,72,90,32,4,6,11,3,5,8,17,9,4,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,13,22,13,19,13,18,25,72,99,82,58,48,28,53,47,52,45,56,47,13,32,32,86,80,91,113,92,74,72,89,92,49,33,75,100,89,94,103,100,95,88,81,79,82,79,94,85,82,89,79,20,75,87,78,105,94,76,103,95,81,93,104,116,98,89,36,55,91,85,95,53,75,73,59,70,47,52,66,66,77,97,82,53,85,72,82,50,82,46,51,62,83,39,86,96,92,87,53,39,44,35,18,15,17,11,15,21,20,18,34,61,46,44,33,16,14,18,19,16,21,21,50,52,49,55,67,67,19,52,25,29,32,34,28,10,9,16,10,0,14,12,5,10,11,17,23,24,28,46,44,76,52,37,52,69,60,49,75,64,50,53,43,35,65,43,7,26,12,19,13,11,14,7,19,9,20,20,13,21,15,18,41,50,28,20,32,38,49,60,67,55,33,20,48,40,34,24,28,31,36,18,27,25,22,39,41,19,15,31,39,62,59,46,62,40,57,32,28,36,56,47,48,43,60,65,67,62,64,69,79,80,55,89,88,64,92,94,43,54,68,57,58,86,87,87,90,88,57,71,113,108,94,75,65,75,78,99,89,106,107,99,74,92,74,62,82,60,53,55,33,82,66,87,94,49,29,25,41,61,56,117,78,46,65,79,113,98,92,48,46,32,37,52,78,89,49,49,56,67,82,70,92,75,73,81,88,93,79,91,66,67,81,71,63,68,95,85,83,86,59,0
MacroH2A1.1,5,16,13,2,11,16,4,13,6,3,7,6,3,6,4,3,6,6,4,3,0,2,3,0,3,4,8,3,5,0,6,1,13,10,12,8,3,3,6,0,0,3,15,11,4,7,2,2,13,13,5,0,6,13,1,3,2,8,6,3,3,3,2,3,1,2,7,6,4,4,2,10,6,6,0,3,4,7,1,8,10,2,5,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,4,1,3,3,4,1,1,1,2,7,13,4,1,2,4,0,1,1,0,0,0,1,6,4,0,5,3,7,8,5,6,2,8,1,5,10,6,15,0,4,3,7,6,5,8,11,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,2,6,11,9,4,4,19,7,11,1,6,4,14,10,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,10,10,1,0,0,4,3,4,2,6,4,0,0,0,13,6,8,11,15,5,1,13,11,0,0,6,8,4,10,0,15,16,15,16,14,7,26,6,8,6,18,17,2,10,11,3,6,15,11,12,0,3,11,4,0,1,9,1,7,13,4,4,5,0,6,5,3,5,8,6,6,7,13,7,6,6,4,6,8,3,3,6,3,9,2,4,6,13,4,1,3,3,2,0,0,0,0,0,0,0,0,1,6,11,2,3,2,0,0,0,2,1,0,2,7,5,8,9,3,3,3,0,0,0,9,1,0,2,2,2,0,0,0,0,0,2,1,0,0,0,1,2,4,2,2,3,2,7,3,8,6,7,1,5,4,1,2,0,2,0,0,0,4,1,0,0,0,1,4,1,0,0,1,2,5,4,1,6,0,5,3,1,3,6,0,1,3,2,0,1,5,4,3,0,1,7,5,3,5,5,2,6,6,2,0,2,1,5,0,0,0,5,5,5,2,0,0,5,10,8,9,4,0,0,5,5,6,4,13,4,1,1,4,2,1,3,1,0,5,5,9,6,3,2,3,10,5,8,14,9,6,2,5,9,4,11,5,5,0,5,2,0,3,0,9,2,7,2,5,1,7,7,4,6,1,6,9,12,6,8,0,1,3,2,5,8,6,4,1,3,8,8,7,11,2,2,1,0,5,7,2,2,6,2,0,0,0,5,8,0,4,6,0
H2AZ,19,80,86,82,56,82,88,79,66,68,65,66,84,39,40,56,58,29,64,46,38,57,61,31,51,75,61,45,38,57,83,58,70,68,49,68,66,59,63,36,20,58,65,58,55,94,81,50,81,63,48,46,69,55,39,64,68,56,44,35,67,60,76,82,23,20,26,77,45,72,83,80,59,63,50,60,52,86,91,83,76,41,58,35,20,14,15,15,16,30,29,36,50,39,41,46,45,45,28,34,24,15,11,20,31,31,24,25,42,52,41,65,23,17,48,44,29,33,22,20,34,51,32,41,24,27,21,63,85,71,45,39,56,52,88,72,73,63,81,53,52,75,60,69,71,73,42,48,20,22,32,24,16,13,13,10,10,10,15,13,19,27,21,10,19,12,13,20,11,22,18,20,37,43,57,45,63,87,96,98,75,81,97,79,44,69,58,48,41,71,63,71,76,31,7,5,8,6,2,12,23,9,3,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,2,9,22,19,9,24,21,30,61,92,75,48,57,37,55,49,53,49,55,51,23,34,37,92,82,76,95,81,76,80,72,68,47,41,60,89,77,88,81,78,73,79,84,71,55,74,73,63,68,72,77,31,63,84,66,89,91,64,83,77,87,82,93,88,91,97,44,39,77,69,95,34,59,61,47,52,25,56,51,42,76,96,76,24,67,50,76,45,60,36,43,36,64,35,71,86,93,88,63,60,44,35,21,14,14,10,14,18,16,20,39,55,32,56,41,27,20,25,20,26,21,22,41,44,60,65,70,65,16,61,30,23,42,36,39,11,16,19,26,2,14,14,7,10,12,14,14,29,27,59,39,78,57,45,60,60,58,41,69,54,63,57,46,16,40,38,9,30,9,25,18,16,20,9,16,17,11,22,29,26,17,24,59,49,29,29,46,60,48,45,68,56,56,16,50,52,39,35,40,43,41,42,33,36,43,59,53,23,24,28,36,61,46,24,62,27,54,34,30,42,67,46,45,44,68,71,64,36,56,60,78,74,59,80,84,53,89,91,38,45,62,60,57,88,86,91,90,80,41,60,89,89,90,81,44,66,72,63,84,93,101,80,62,95,69,71,92,59,57,47,43,69,59,66,82,50,38,38,65,65,57,95,69,53,69,83,102,89,77,56,50,41,45,61,66,84,49,47,65,73,68,58,77,68,71,90,86,84,78,75,81,74,83,72,62,66,75,79,97,86,63,0
H2BK120ac,9,25,17,16,7,7,7,16,14,12,3,23,21,5,9,37,24,2,21,7,15,36,17,1,2,21,20,4,8,0,7,16,19,0,27,48,29,32,39,50,41,51,61,36,12,16,12,44,39,51,63,37,14,44,2,5,9,44,3,2,25,1,18,63,51,45,6,6,7,12,1,19,5,12,13,4,0,24,35,28,43,10,1,0,0,0,0,0,0,10,7,26,60,54,50,64,41,30,25,13,0,2,0,0,43,19,0,25,25,40,25,52,63,45,79,84,60,21,0,0,0,2,2,11,0,2,7,3,15,1,2,2,32,23,34,13,13,29,32,28,61,65,40,14,28,38,5,0,0,5,5,5,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,8,21,12,7,18,21,14,6,0,15,21,33,31,20,39,25,19,35,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,14,18,27,52,25,9,14,2,20,4,0,0,0,13,7,21,7,28,20,25,37,19,0,0,22,19,29,24,4,23,21,31,27,21,34,20,13,37,28,28,12,3,17,23,7,7,44,33,47,17,32,23,3,1,21,11,1,17,36,7,18,28,29,24,17,17,27,16,38,19,4,35,21,23,18,17,44,9,21,19,27,22,25,27,34,36,35,16,0,11,8,3,2,0,0,0,0,0,0,0,3,23,24,0,9,7,1,3,0,6,8,0,32,27,48,36,63,38,9,13,1,8,10,59,12,6,4,28,6,0,1,0,0,0,5,3,0,1,1,15,1,21,25,2,5,10,18,5,28,41,11,5,35,41,55,16,0,6,0,0,0,3,9,0,0,0,0,8,14,12,0,1,30,57,24,1,35,52,15,64,39,30,26,18,43,58,71,20,25,29,52,44,19,13,35,12,26,17,1,0,9,16,13,20,17,47,39,3,14,19,33,23,13,34,42,33,41,32,36,49,4,0,0,9,11,8,1,21,8,0,0,33,22,28,12,1,2,18,46,26,4,3,0,4,18,9,28,33,21,7,0,25,32,5,5,5,18,42,53,47,22,55,14,34,17,1,12,31,9,27,31,34,28,5,10,24,15,37,19,0,2,7,11,36,52,27,9,8,0,9,16,4,63,56,49,5,0,33,45,13,9,9,10,1,0,1,20,7,0,2,4,0
