,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,6,11,11,17,2,4,3,14,2,1,1,6,5,17,14,12,3,5,5,0,8,1,0,3,7,8,2,12,16,6,4,5,5,17,8,1,1,16,13,19,8,9,22,10,4,3,9,14,11,10,5,11,25,9,2,1,5,0,1,2,2,6,6,3,8,0,3,7,12,16,8,3,5,2,2,4,8,11,2,2,2,1,1,14,12,13,12,12,4,5,15,6,11,3,18,5,18,9,9,15,15,6,1,5,3,13,5,6,6,11,2,4,11,6,14,13,11,9,13,21,11,6,3,5,8,16,10,3,8,3,1,7,3,0,1,0,2,0,0,4,0,1,0,1,0,0,0,0,4,2,4,2,1,2,3,5,6,6,9,9,2,4,2,1,1,2,3,3,5,2,3,5,8,4,3,4,6,9,6,3,7,1,8,4,8,7,2,8,9,6,0,2,2,4,2,0,0,0,0,0,4,2,3,0,1,2,3,2,2,4,4,13,10,6,10,2,12,2,6,1,11,16,22,10,1,5,6,8,6,1,2,6,3,4,2,3,7,9,7,7,3,2,2,1,1,0,1,2,1,4,3,8,9,4,2,2,4,5,1,0,4,10,6,2,0,4,2,7,4,0,1,3,3,1,1,3,0,3,2,3,2,5,1,1,1,4,3,1,6,0,5,3,16,8,11,12,17,6,5,1,12,4,9,4,1,0,1,4,20,10,7,9,18,12,7,6,9,6,0,4,7,9,2,4,11,9,8,2,8,3,14,3,1,2,0,2,2,5,2,4,7,4,1,11,12,10,3,5,11,15,13,9,7,3,1,9,15,10,7,14,24,25,11,15,5,3,0,1,2,5,11,4,12,8,6,10,12,2
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,2,2,1,0,0,0,2,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,2,1,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,6,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,4,4,8,6,3,7,4,0,2,0,3,3,4,7,12,6,4,8,5,7,5,2,0,5,5,6,4,6,13,8,6,6,3,6,8,0,2,7,6,8,5,8,12,11,6,3,5,5,6,9,1,4,6,3,2,2,0,0,0,2,1,1,4,3,5,1,7,6,0,5,2,3,2,3,3,3,5,4,4,2,0,1,7,6,5,8,1,5,2,3,4,5,2,0,8,3,3,5,5,6,8,6,3,4,3,6,6,5,3,2,4,4,2,2,5,3,6,8,4,6,2,3,3,4,2,5,10,7,5,5,7,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,1,5,2,5,7,0,0,2,0,1,1,3,2,0,2,0,1,0,1,0,3,1,0,1,2,1,3,0,1,2,2,4,0,1,0,1,0,0,0,0,2,1,0,1,2,0,1,2,1,1,0,1,2,3,2,3,1,6,3,1,0,2,0,6,5,7,2,1,2,5,2,1,4,3,3,1,0,1,1,2,4,3,2,5,0,0,4,0,0,0,0,1,0,2,2,0,0,1,0,0,2,4,0,1,0,6,2,0,0,0,2,2,0,2,2,0,0,0,1,0,0,1,0,0,1,0,3,4,5,4,1,2,3,1,2,3,1,0,1,3,4,7,1,6,6,5,5,2,0,1,6,6,5,4,5,4,6,5,3,5,6,4,3,1,5,4,1,6,4,2,3,2,4,5,3,1,0,0,1,1,1,1,0,3,1,0,2,0,4,1,1,6,1,4,2,5,1,1,5,1,2,4,2,11,6,8,10,5,4,0,1,0,4,7,9,8,8,4,4,8,2
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,16,12,17,25,36,13,16,12,23,2,0,0,5,15,37,46,45,21,12,8,5,12,1,3,8,13,28,7,38,34,18,6,15,19,42,14,0,3,29,34,33,25,24,56,32,7,6,15,29,22,19,18,21,54,24,9,8,7,1,1,4,0,7,27,8,17,0,17,22,25,26,13,1,4,1,1,5,14,19,13,7,5,4,18,24,25,34,24,27,10,4,26,24,35,9,28,19,41,24,34,30,43,19,1,10,9,25,19,20,15,15,12,10,15,21,32,22,26,31,20,28,22,15,10,9,13,28,28,10,22,18,1,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,8,10,19,14,4,9,0,0,0,0,0,0,5,2,5,14,12,12,4,8,8,8,10,3,3,13,14,8,8,18,6,16,15,9,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,3,9,21,16,7,28,27,20,5,8,5,25,32,33,10,10,10,26,19,12,3,16,7,3,3,1,1,9,18,19,24,13,2,0,1,0,0,0,0,0,2,7,7,15,3,5,0,3,15,3,0,8,14,9,1,0,5,0,18,9,0,1,1,0,0,0,0,0,3,1,0,1,7,3,1,1,7,3,0,5,2,6,8,23,15,23,25,31,11,11,6,22,11,18,6,0,0,0,6,51,27,7,31,46,40,14,17,25,21,5,5,20,22,6,6,22,23,6,1,9,7,15,6,1,0,0,7,3,5,2,0,13,6,7,12,20,36,6,10,25,26,15,11,11,2,5,18,20,16,17,28,58,49,23,24,30,3,0,1,0,9,29,15,26,30,14,33,42,13
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,10,2,3,6,10,0,0,0,0,2,13,16,7,2,3,1,0,2,0,0,1,1,3,1,8,5,2,0,4,4,6,4,0,0,4,9,7,6,4,16,2,0,0,5,6,4,0,3,6,13,8,1,1,4,0,1,0,0,0,4,1,1,0,0,2,3,6,1,0,0,0,0,0,1,5,0,0,1,0,2,5,8,13,2,4,1,0,5,8,5,2,3,0,12,2,10,5,7,3,0,1,0,3,3,2,1,2,0,1,0,1,8,2,3,5,7,1,7,5,1,1,2,8,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,1,1,1,2,1,0,0,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,5,5,5,0,2,1,2,1,7,1,2,3,4,3,4,0,4,0,0,0,0,0,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,2,0,5,5,3,7,12,2,2,0,8,2,0,0,0,0,0,2,17,3,0,8,18,7,0,5,1,2,0,1,1,5,0,2,1,7,2,0,2,0,2,0,0,0,0,1,0,0,0,0,3,0,0,4,7,4,0,2,6,7,1,1,1,0,1,8,11,3,4,7,21,19,8,5,4,0,0,0,0,2,6,0,5,4,1,9,14,1
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,31,34,54,81,104,14,40,68,89,14,0,0,11,35,106,103,104,55,9,29,0,7,0,0,3,25,73,6,88,84,31,2,33,42,98,34,0,1,56,64,88,87,76,80,81,17,0,40,102,68,40,68,85,100,77,17,13,20,7,1,0,0,5,65,11,20,0,43,63,96,86,43,3,1,0,0,5,16,78,16,0,8,1,25,58,69,78,64,84,25,13,82,78,100,24,51,58,103,76,108,102,95,40,5,5,6,72,37,67,68,69,12,15,24,44,74,58,72,77,79,65,82,53,10,8,16,83,62,9,32,25,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,18,56,55,4,4,0,0,0,0,0,0,1,2,10,27,17,37,11,7,10,8,19,5,4,14,12,12,19,52,13,32,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,13,56,61,21,74,82,50,1,8,3,56,78,90,27,36,48,63,29,34,0,42,25,5,2,0,0,3,24,55,99,41,0,0,0,0,0,0,0,0,5,16,34,42,1,5,0,7,16,0,0,14,60,17,0,0,7,0,26,30,0,0,2,0,0,0,0,0,0,1,1,0,10,0,0,0,2,1,0,2,5,14,9,61,45,71,94,87,15,14,10,73,28,31,4,0,0,0,5,99,62,4,105,113,105,37,85,57,40,2,7,66,49,11,24,54,66,21,0,20,4,29,5,0,0,0,9,7,2,0,0,25,9,4,42,78,78,1,23,85,95,73,27,13,2,19,65,106,53,57,96,96,105,62,65,73,0,0,0,0,21,62,21,67,71,45,49,85,38
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,47,27,37,66,65,91,67,65,82,57,47,81,68,53,26,36,52,49,77,76,94,78,51,75,50,60,43,58,65,38,71,81,68,79,71,61,70,64,75,49,53,49,72,66,96,68,60,88,86,60,32,55,59,65,44,53,67,60,43,54,51,40,51,33,14,12,35,71,43,42,42,59,49,44,28,26,17,17,30,37,35,47,50,35,63,66,68,46,54,62,57,23,57,56,51,44,50,70,43,37,53,90,51,79,62,76,73,90,42,46,58,47,32,34,42,39,45,34,55,56,36,62,75,67,46,63,44,54,67,63,51,86,60,43,30,67,60,41,15,10,17,14,15,17,23,6,18,14,10,17,9,10,8,11,10,11,10,11,9,13,19,42,47,31,43,38,40,26,13,20,17,13,11,16,13,19,28,25,31,17,18,21,22,30,26,18,13,24,20,24,29,17,21,22,16,11,19,9,14,6,9,10,12,9,17,12,12,9,11,12,18,19,22,16,20,29,49,53,39,48,48,46,21,32,35,58,44,56,30,22,18,59,48,26,33,26,27,21,36,32,27,34,35,32,44,50,20,12,12,10,6,14,6,19,14,24,21,33,19,18,15,22,28,15,19,15,34,19,14,9,10,21,16,18,7,14,15,12,16,10,10,16,15,11,13,16,21,17,21,26,31,22,15,27,22,15,31,36,30,32,27,58,58,51,51,85,64,50,39,39,23,26,39,66,44,51,77,85,99,72,96,63,83,78,72,50,80,78,62,51,36,25,31,53,43,58,49,26,23,22,18,30,15,21,23,35,32,28,47,55,74,63,56,35,43,37,43,43,46,44,54,70,64,70,73,85,95,87,79,95,94,40,89,77,80,103,104,96,94,65,60,81,29
MacroH2A1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,8,8,8,9,10,8,3,0,0,2,0,0,6,4,3,9,0,5,2,4,1,6,0,2,0,7,4,5,12,11,2,7,7,3,5,2,0,3,9,11,3,3,8,14,11,4,0,1,1,0,2,3,2,2,2,4,4,3,1,1,1,0,2,7,7,4,1,6,5,0,2,0,1,0,0,0,4,6,2,0,1,3,2,7,5,3,6,4,11,3,3,1,3,4,3,4,0,14,2,0,7,5,2,2,2,4,2,5,2,3,1,1,1,5,6,1,1,4,3,2,5,9,6,1,6,5,2,6,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,5,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,2,0,3,4,1,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,5,0,3,0,0,2,0,1,2,5,7,5,0,3,4,1,4,3,0,3,0,0,6,2,0,3,2,2,0,4,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,4,6,7,7,2,1,3,3,6,1,0,0,0,1,3,8,2,4,1,4,1,4,8,9,1,2,0,2,3,5,2,8,6,0,4,2,5,4,0,0,0,5,3,2,2,0,3,0,0,0,4,4,4,1,5,0,0,1,4,2,0,1,8,2,4,0,1,6,7,6,3,2,0,3,3,3,5,6,13,15,21,14,6,5
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,65,26,37,49,50,90,74,43,74,65,46,80,89,50,25,36,60,66,77,72,85,65,56,64,64,56,63,76,65,39,63,71,56,75,65,81,63,52,69,65,51,55,74,65,96,54,65,84,77,71,46,66,66,62,34,48,70,50,55,53,57,57,54,31,15,16,37,77,58,34,53,66,48,50,42,43,22,22,26,39,43,45,36,47,74,82,75,38,44,60,60,17,48,49,52,54,60,82,49,34,67,90,59,87,49,57,62,95,39,59,49,53,58,52,56,56,42,26,64,52,25,45,66,60,36,64,50,50,73,61,46,73,57,36,28,75,68,40,10,17,19,15,15,23,15,7,13,12,13,13,11,11,5,9,8,21,7,19,14,19,35,52,49,28,42,52,40,18,15,10,9,17,16,24,32,40,40,41,50,24,31,34,35,39,34,41,25,46,38,45,43,28,39,47,24,15,14,14,9,7,7,17,14,14,6,17,8,12,21,14,21,13,18,19,32,18,62,73,67,32,37,65,36,39,39,59,39,29,30,23,40,66,39,30,45,38,44,32,38,35,29,39,41,60,55,59,17,8,19,15,13,13,12,18,24,35,44,49,41,28,26,30,31,20,29,37,45,23,9,4,18,18,39,28,12,11,12,12,14,7,10,18,17,12,16,16,35,15,30,33,38,22,18,25,33,20,48,52,24,32,37,60,58,52,54,58,77,48,31,36,25,31,53,60,45,62,76,64,82,91,85,65,71,84,74,40,85,71,74,61,46,34,31,56,49,44,58,34,16,26,21,30,30,27,28,58,45,43,72,77,76,67,81,48,35,27,43,50,49,61,71,96,75,89,88,82,78,84,78,87,102,43,90,82,74,104,89,81,86,50,51,96,28
H2BK120ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,14,15,12,29,56,12,24,41,48,10,0,0,3,23,65,53,59,25,4,12,0,6,0,0,2,6,28,4,34,36,17,0,22,19,56,11,0,0,17,24,38,42,25,51,24,4,1,17,58,38,18,29,32,46,40,8,10,12,7,0,1,0,11,29,5,6,0,19,27,61,41,27,2,2,0,0,2,8,41,9,0,6,0,14,20,37,40,22,37,6,1,38,41,44,9,31,30,43,36,62,48,60,18,3,4,6,28,19,37,40,28,7,12,11,20,28,18,36,34,40,23,31,29,8,4,6,35,25,5,17,22,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,11,16,40,50,1,5,0,2,0,0,0,0,3,2,9,21,17,24,15,5,9,8,26,13,5,17,16,6,12,41,12,35,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,7,0,0,0,4,34,38,6,35,43,30,5,4,3,29,40,69,11,15,20,39,12,19,1,36,22,5,1,0,0,2,14,39,40,22,0,0,0,2,0,0,0,0,10,17,44,32,6,8,2,12,17,2,2,23,51,17,0,0,9,1,24,26,0,0,2,0,0,0,0,0,2,0,1,0,5,0,0,0,2,2,0,1,6,8,8,29,13,39,55,44,9,9,7,35,16,10,2,0,0,0,7,57,31,1,43,61,54,10,40,20,14,2,2,30,30,5,19,32,42,16,1,14,3,16,1,0,0,0,11,3,6,1,1,15,11,6,35,43,34,1,18,55,42,39,13,4,0,16,29,65,25,21,50,54,29,19,36,32,1,1,0,0,9,21,4,30,27,8,32,38,16
