,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,9,1,12,6,2,1,5,5,12,16,13,4,2,1,12,6,1,12,6,0,1,2,1,5,1,2,2,0,0,3,0,2,1,4,4,4,7,5,8,3,15,7,14,7,2,7,4,9,8,1,3,1,2,7,4,5,8,8,8,8,4,3,2,7,1,4,6,7,7,7,16,11,1,2,9,6,0,0,0,2,3,3,3,2,2,4,4,1,2,3,1,2,2,1,1,1,0,8,7,0,0,1,1,0,1,1,3,1,1,0,0,0,4,3,0,1,3,14,8,13,9,10,6,14,15,13,11,10,7,21,9,11,3,6,4,7,28,11,11,6,9,5,13,11,2,1,2,3,2,0,6,8,13,17,11,16,0,2,10,3,13,7,12,12,26,10,8,2,3,3,5,9,5,9,10,12,18,6,14,7,5,3,3,3,2,6,8,6,8,8,13,14,19,21,17,8,9,10,3,3,3,14,16,16,12,3,0,3,13,6,9,11,12,11,4,6,16,10,19,17,10,11,5,6,0,13,11,8,9,3,2,2,2,6,3,9,8,4,12,12,6,10,2,3,1,1,2,1,1,0,7,3,6,6,4,1,1,4,4,14,9,8,2,5,5,10,6,3,2,2,2,5,8,18,8,15,15,13,6,7,11,5,4,5,6,8,5,7,15,7,9,2,2,4,3,6,5,2,7,11,1,2,28,5,1,2,0,0,0,0,0,2,3,2,2,7,10,13,5,15,6,7,2,7,4,14,10,8,11,9,9,18,9,3,2,0,2,3,5,3,0,0,0,1,1,0
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,0,4,3,1,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,2,1,1,3,0,1,0,0,0,1,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,2,3,1,0,4,4,0,0,0,2,0,0,2,0,0,2,0,1,1,2,2,1,1,0,3,3,0,2,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,1,1,0,4,2,0,0,2,0,2,0,0,1,0,0,3,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,2,1,0,1,0,3,2,1,1,1,2,2,0,0,0,4,4,1,2,0,0,0,0,0,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,12,15,5,7,13,17,8,11,19,12,15,10,4,14,16,4,2,4,4,1,0,4,1,2,2,0,0,0,0,0,0,6,1,2,4,3,3,2,5,5,3,3,6,1,3,6,4,4,3,0,1,0,3,3,7,3,4,2,6,2,6,5,3,8,2,9,0,6,5,5,0,3,2,3,6,0,1,0,1,0,0,0,1,2,1,2,0,0,2,0,0,1,2,0,0,1,3,5,3,3,0,2,1,1,0,1,0,0,1,0,1,1,1,1,4,6,8,8,5,6,4,3,5,6,3,6,4,4,5,4,6,5,4,1,11,12,5,9,6,2,3,4,10,3,1,4,4,1,1,4,4,5,6,5,6,5,4,6,4,7,1,6,7,4,5,6,0,0,0,6,4,6,4,3,9,9,10,3,4,1,4,1,5,4,0,4,7,10,4,4,3,5,14,13,8,10,5,5,1,4,6,5,2,3,4,1,6,2,4,3,4,13,8,7,14,6,12,7,9,6,7,5,4,5,15,12,6,8,4,1,1,4,7,1,2,2,1,2,2,2,7,5,2,3,1,0,0,1,2,2,2,0,0,0,0,0,0,1,3,2,1,4,1,3,4,2,1,3,5,3,5,5,5,4,2,1,7,3,6,6,4,5,3,1,5,3,4,11,5,14,1,4,9,7,6,6,0,2,7,4,3,17,4,4,1,0,0,0,0,0,0,0,0,2,11,13,9,11,12,8,7,3,0,6,4,7,8,8,6,14,9,5,6,5,0,13,14,9,14,1,1,4,3,4,1
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,21,15,13,32,21,5,3,21,26,30,44,30,19,13,8,29,25,6,28,15,0,0,0,0,6,4,2,0,0,0,0,0,0,7,3,12,9,20,17,19,6,21,10,30,21,6,24,17,20,17,1,0,0,5,4,7,16,25,15,23,32,12,10,6,5,5,10,19,3,17,7,20,18,4,7,18,17,0,0,0,0,0,0,0,0,9,4,8,2,2,8,0,0,2,0,0,1,3,14,15,1,1,0,2,0,0,0,0,0,0,0,0,5,12,9,4,4,20,41,18,32,34,40,7,37,61,37,31,32,16,39,16,30,13,21,20,26,52,20,36,31,22,18,24,23,7,0,3,8,0,1,19,14,28,28,28,37,6,3,16,6,30,15,42,28,52,22,13,7,12,5,14,17,23,20,25,26,39,25,31,22,8,5,1,4,4,4,20,17,19,22,42,40,53,55,39,16,41,30,5,7,10,25,29,30,41,4,0,13,47,31,21,24,32,31,15,21,46,40,33,21,21,26,10,4,9,40,22,21,29,8,1,0,2,18,10,22,19,16,18,26,18,17,11,8,1,1,0,0,1,3,14,15,14,14,4,4,1,0,8,21,17,8,4,12,13,18,7,4,1,8,2,17,21,30,13,47,24,34,13,23,37,11,24,13,2,20,10,22,37,14,27,9,3,19,22,16,15,1,17,23,8,6,66,14,5,6,0,0,0,0,0,0,0,0,4,21,41,35,29,29,22,31,11,6,7,24,31,30,24,31,29,42,34,13,1,0,19,27,24,25,1,0,0,0,0,0
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,5,3,0,0,2,2,5,14,6,0,0,2,6,4,0,4,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,0,2,0,7,1,1,2,1,6,2,0,0,0,0,0,0,1,3,0,1,5,0,1,2,0,0,2,1,0,1,0,7,3,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,14,4,6,4,5,0,10,9,5,13,9,2,8,2,19,4,6,2,2,17,1,4,5,4,2,5,8,1,0,1,1,0,0,4,2,9,6,4,4,0,0,5,0,6,3,20,7,18,6,0,0,4,2,1,2,0,3,4,2,11,3,2,4,0,0,0,0,0,1,2,0,0,2,7,10,23,19,8,5,5,5,0,1,0,2,6,1,6,4,0,0,16,4,3,4,6,3,1,1,16,6,8,4,4,8,0,0,0,12,11,3,5,0,0,0,0,3,1,3,6,2,2,5,3,2,3,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,5,1,1,0,1,1,4,2,1,0,1,0,1,3,9,2,9,4,10,0,6,6,0,4,2,0,5,3,5,12,2,2,0,0,5,1,3,4,0,2,8,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,2,13,5,0,5,2,4,1,1,0,7,6,3,1,4,3,5,5,0,1,0,2,6,2,0,0,0,0,0,0,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,10,32,25,3,0,55,44,60,72,44,21,13,8,57,60,1,77,29,0,0,0,2,7,3,1,0,0,0,1,0,0,2,3,16,20,35,36,68,1,36,25,101,52,15,64,30,66,41,2,0,0,1,6,3,31,85,52,44,54,4,13,21,5,1,31,53,1,41,11,83,66,4,2,26,15,0,0,0,0,0,0,0,0,5,3,20,1,0,7,0,0,0,0,0,2,1,11,23,0,0,0,1,0,0,0,0,0,0,0,0,3,18,7,4,0,38,69,37,58,85,81,10,102,93,106,50,87,28,103,31,98,56,67,45,61,113,38,66,64,66,46,75,50,4,0,6,9,0,0,29,20,99,87,77,83,4,4,30,4,48,44,89,29,76,68,25,17,36,18,9,39,41,35,84,66,107,47,62,50,8,3,0,1,2,4,51,19,28,63,114,104,55,78,60,36,60,67,2,4,3,68,90,110,112,22,0,6,78,87,61,54,62,58,19,35,57,84,87,59,43,71,12,1,6,64,22,33,62,5,0,0,1,29,27,56,36,19,37,99,72,33,9,7,0,0,0,0,1,1,38,26,30,42,6,12,3,0,5,42,44,8,5,32,45,67,28,9,0,4,1,30,44,87,63,109,97,83,12,44,77,27,52,9,0,39,24,57,79,19,65,14,0,27,33,24,16,4,50,33,10,6,64,29,0,7,0,0,0,0,0,0,0,0,0,35,71,75,84,70,46,49,16,7,9,61,89,50,59,83,74,88,88,13,0,0,32,56,48,53,0,0,0,0,0,0
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,1,13,13,42,20,65,73,72,62,68,35,36,33,68,61,90,73,88,75,39,78,78,53,58,36,26,18,18,20,17,13,10,13,10,6,7,20,13,25,16,29,28,27,35,35,34,39,36,66,60,30,53,38,41,27,29,17,36,48,45,55,54,71,57,46,68,18,44,42,47,45,44,45,20,45,34,45,31,37,46,58,29,19,23,9,15,13,11,16,8,14,12,24,14,13,11,15,11,20,20,11,15,22,36,52,21,14,8,7,3,8,12,8,10,16,15,8,16,16,14,25,33,61,72,62,61,48,77,50,80,62,64,67,48,39,74,46,50,35,49,48,60,70,49,78,59,56,63,75,51,57,43,38,36,28,51,49,50,66,44,44,40,41,31,49,32,45,26,65,68,70,54,41,25,23,32,41,48,71,55,76,69,88,81,92,63,38,63,49,31,26,18,34,76,82,48,42,70,90,90,60,82,82,70,64,41,63,59,77,51,64,44,49,70,84,100,72,59,65,75,65,85,76,71,80,87,74,75,86,92,82,90,93,72,69,87,84,50,38,35,43,41,54,36,27,44,34,48,43,53,31,26,15,15,15,18,33,20,25,26,20,19,19,22,31,39,45,25,21,27,27,31,39,24,40,41,63,58,47,76,79,85,77,73,77,88,88,63,93,82,33,60,78,105,98,79,88,29,63,116,49,96,97,84,78,106,89,87,94,56,82,69,70,67,55,68,62,56,57,87,99,89,80,79,95,84,105,68,91,80,75,94,97,90,90,90,94,76,91,82,107,94,83,79,90,92,41,64,39,36,49,13
MacroH2A1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,6,5,10,2,1,0,5,4,11,13,8,8,6,9,6,11,0,6,5,0,0,0,1,4,2,0,0,0,0,0,0,0,2,1,0,2,2,1,1,2,2,2,4,1,1,2,3,0,0,2,0,0,2,3,1,4,4,3,2,5,0,4,3,4,2,4,5,0,1,3,5,1,0,5,10,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,9,15,3,4,7,8,4,4,8,6,7,12,5,3,2,0,0,6,1,5,2,7,8,5,6,3,3,1,4,0,2,4,0,0,8,1,12,4,1,4,1,0,2,3,9,1,4,5,6,7,3,0,0,0,0,3,5,7,6,5,11,6,4,3,5,5,0,2,3,2,2,5,6,3,3,9,7,11,5,6,7,7,3,7,0,2,2,1,4,3,0,2,1,12,9,3,5,7,3,9,7,10,7,7,7,8,7,1,3,9,11,10,4,6,0,1,0,3,3,2,0,2,1,0,2,4,5,5,2,0,0,0,0,0,2,0,0,1,1,5,1,0,2,5,4,0,1,0,2,4,4,0,0,3,4,2,5,9,2,6,2,4,5,13,4,5,10,5,0,4,1,5,10,11,10,0,0,9,15,3,5,3,3,12,4,1,13,1,5,5,0,0,0,0,0,0,0,0,2,8,9,7,6,4,8,7,6,7,3,10,6,13,2,4,10,10,10,8,2,5,5,15,7,11,4,0,0,0,2,0
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,6,15,13,39,25,66,68,71,48,50,52,36,56,65,68,78,54,63,72,51,76,70,56,49,51,21,17,12,23,30,8,14,12,15,9,8,15,16,32,20,38,48,27,38,59,43,29,39,49,55,25,58,36,56,35,35,30,45,46,69,73,59,64,41,27,59,15,48,47,49,55,55,51,16,49,48,73,45,38,41,43,30,17,16,11,10,15,10,17,14,16,13,29,12,18,24,16,13,16,16,14,16,26,34,32,26,21,10,10,13,12,5,8,15,20,14,14,20,37,28,23,54,48,67,40,38,46,62,42,80,41,58,60,51,40,59,44,53,37,55,50,67,42,57,73,45,46,69,52,65,62,44,37,47,36,49,51,29,64,59,43,37,58,30,43,37,48,19,70,85,59,56,53,36,46,36,39,39,60,62,69,56,79,71,93,55,29,70,63,30,22,21,43,62,77,37,35,72,82,72,48,60,69,86,65,43,65,51,74,40,56,60,78,80,78,83,53,40,58,67,59,80,63,58,56,89,56,51,72,97,78,92,89,51,43,92,84,45,45,43,37,39,56,30,36,42,43,47,45,62,35,23,21,18,12,20,44,47,30,46,19,25,19,21,34,51,36,27,36,54,47,43,44,42,49,48,68,42,35,81,75,72,81,73,77,88,82,55,92,77,36,49,56,99,85,73,74,33,69,99,56,81,100,89,76,103,85,87,87,59,79,67,90,78,65,59,61,49,64,86,98,79,75,67,74,79,76,60,72,77,68,72,76,74,69,81,65,59,76,73,80,82,68,71,69,81,54,66,44,46,57,10
H2BK120ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,3,14,8,3,0,38,28,31,30,20,14,9,6,22,20,0,38,13,0,0,0,2,6,7,2,1,0,0,0,0,0,4,2,14,17,18,27,39,1,19,7,45,18,6,24,15,32,28,3,0,0,2,2,1,13,45,21,16,28,4,5,10,1,0,21,25,1,32,6,54,41,2,0,11,6,0,0,0,0,0,0,0,0,5,7,16,3,4,13,0,0,2,0,0,2,1,4,15,0,3,0,2,0,0,0,0,0,0,0,0,16,20,6,2,1,18,51,24,23,41,40,8,60,50,38,25,47,7,59,12,52,27,50,28,17,63,20,45,25,31,18,41,22,4,0,4,5,0,0,11,8,49,26,27,33,1,4,11,2,21,20,42,18,40,26,11,13,20,19,6,14,12,15,32,22,58,22,25,31,3,0,0,1,1,2,23,8,11,40,72,56,45,36,30,10,38,34,0,2,4,25,46,46,65,12,0,4,47,38,19,14,27,20,10,21,33,35,35,18,15,22,5,0,3,34,15,13,34,1,0,0,3,14,11,35,19,10,26,65,54,30,5,5,0,0,0,0,0,2,27,30,27,40,8,7,4,0,3,26,19,4,6,31,36,46,21,11,0,4,0,13,18,43,18,52,51,38,9,14,15,13,28,3,0,17,7,36,44,4,20,7,0,15,13,9,8,2,15,9,5,2,37,12,0,5,0,0,0,0,0,0,0,0,0,12,36,32,25,31,13,21,6,3,3,19,29,26,17,20,26,33,25,5,0,0,12,29,15,13,0,0,0,0,0,0
