,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000
CEBPB,10,8,5,3,2,5,2,3,11,7,7,6,6,7,7,9,17,15,13,6,6,1,0,0,3,3,2,3,3,2,2,1,0,1,3,14,22,0,3,1,2,3,5,6,21,12,11,13,13,10,5,0,1,1,2,1,8,20,11,0,3,0,14,10,11,4,0,0,2,11,14,6,1,0,0,3,14,0,8,6,1,1,0,14,5,1,9,0,9,12,2,2,2,3,10,0,0,2,16,16,18,4,2,1,1,0,1,4,5,14,4,4,11,1,3,3,7,6,3,9,5,7,8,8,10,7,3,2,0,0,0,2,0,0,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,8,10,18,13,1,1,1,3,2,9,6,2,2,4,6,6,10,2,1,2,2,10,9,3,12,8,1,3,2,0,2,10,1,3,10,13,13,14,8,12,15,2,4,6,1,6,1,6,2,0,1,2,2,0,2,1,1,0,2,1,0,0,3,0,2,7,8,4,14,13,9,5,3,15,3,11,6,13,10,9,5,5,7,3,5,14,14,14,6,2,9,16,8,5,3,3,7,2,6,7,14,16,3,3,3,3,1,7,10,5,13,9,7,2,3,3,1,3,5,2,10,2,3,7,2,1,1,1,0,11,3,4,4,10,7,13,4,8,1,6,10,15,7,5,6,3,8,13,23,15,9,5,9,7,30,10,13,11,7,7,17,8,8,10,9,1,9,11,4,5,0
CHD1,4,2,2,1,4,1,1,3,3,0,2,5,5,1,2,0,1,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,5,2,4,0,1,0,0,0,0,0,0,0,0,1,0,2,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,1,3,1,3,0,0,0,1,1,3,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,3,3,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,0,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,3,1,2,3,3,1,2,0,1,1,1,1,1,2,2,1,0,0,0,3,0,1,0,1,1,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,2,1,1,3,2,1,2,1,4,0,1,2,0,5,2,3,2,5,0,2,4,2,0,0
CTCF,8,9,16,11,9,9,3,10,14,10,13,12,22,2,5,3,3,19,13,1,8,1,1,0,1,0,3,0,0,1,0,0,1,0,5,6,10,4,1,0,0,2,5,3,8,12,6,4,5,7,2,2,0,0,0,4,6,7,4,1,5,1,9,9,6,4,1,1,0,6,6,0,2,0,0,6,7,2,9,5,0,3,0,8,5,4,7,3,11,4,1,4,4,3,6,2,4,1,9,3,8,1,1,1,0,0,0,1,8,6,5,6,6,4,5,10,5,2,5,13,14,13,12,14,8,11,3,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,2,0,1,5,4,7,3,2,3,5,7,4,8,6,5,1,0,2,3,5,0,1,2,8,3,2,6,2,1,1,3,1,3,7,2,2,6,8,11,6,8,10,13,12,5,7,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,1,2,3,5,0,5,0,5,11,15,14,15,20,17,10,8,9,5,4,7,8,4,7,1,9,7,5,1,7,10,6,4,2,4,8,8,4,1,2,3,6,3,5,7,8,6,3,0,1,3,1,2,3,4,4,6,3,2,0,0,0,1,0,2,3,4,5,8,7,5,7,4,6,9,3,3,3,0,7,10,4,9,11,12,15,10,9,7,5,9,8,10,9,9,15,10,7,12,12,3,8,13,10,5,0
DNase-seq,27,21,33,18,27,15,20,25,47,21,27,29,42,18,21,25,36,50,33,21,12,0,1,0,0,0,1,0,0,0,0,0,0,0,9,23,44,1,0,0,0,3,14,18,60,43,28,38,35,30,16,7,0,0,0,2,18,29,26,2,23,1,31,34,47,7,0,1,1,31,25,12,1,0,2,11,26,3,22,23,0,2,1,26,14,12,24,6,21,22,7,3,15,15,23,4,3,3,30,25,38,3,0,1,0,0,1,5,12,42,25,8,24,6,9,15,26,23,16,30,28,18,29,31,34,16,9,7,1,0,0,0,2,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,26,5,9,12,14,17,30,26,6,2,3,7,5,24,23,4,11,8,11,8,22,5,0,0,2,24,9,9,27,14,4,0,3,1,3,24,2,2,21,29,35,36,24,25,27,20,13,23,4,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,18,3,19,31,17,13,10,36,26,31,32,44,43,35,33,25,21,8,17,47,38,23,26,11,25,37,23,6,10,15,21,10,12,16,28,32,7,0,4,2,13,19,15,29,47,24,10,0,0,0,3,3,9,6,30,7,2,1,1,0,0,4,1,8,9,13,10,21,21,45,9,15,2,22,17,20,23,13,23,22,12,41,46,57,41,31,22,24,47,46,38,30,29,20,42,29,33,26,35,4,43,35,30,17,0
EP300,4,0,2,2,2,2,0,3,7,3,3,4,9,2,3,3,9,15,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,2,1,23,14,7,2,4,9,0,0,0,0,0,0,6,8,4,0,2,0,8,3,20,0,0,0,0,3,4,3,0,0,0,2,10,0,4,5,0,0,0,3,2,4,2,0,5,4,0,0,0,3,4,0,0,0,7,7,8,1,1,0,0,0,0,3,3,18,1,0,4,0,3,3,11,15,1,4,2,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,3,7,4,4,0,0,3,0,1,4,0,0,1,2,2,7,1,0,0,0,8,0,0,8,2,1,0,0,0,0,7,0,0,4,5,7,2,4,4,7,3,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,5,0,23,6,5,4,2,8,1,2,2,4,0,2,11,7,4,6,0,6,13,10,0,3,1,5,0,0,0,9,16,2,0,0,0,1,1,3,5,8,1,4,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,4,3,3,1,3,1,9,1,5,0,8,2,3,1,5,5,4,6,9,16,18,12,11,2,4,32,20,13,5,9,2,10,13,15,2,5,0,8,5,5,0,0
H2AK5ac,41,69,70,35,29,42,36,48,62,36,45,66,62,15,65,78,102,91,54,54,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,77,2,0,0,0,0,27,23,71,100,67,82,85,75,26,3,0,0,0,0,57,74,58,11,46,1,83,84,79,12,0,0,0,66,56,14,0,0,1,16,56,1,39,66,0,0,0,42,26,21,46,14,74,46,13,0,19,27,38,0,0,0,80,57,68,3,0,1,0,0,0,11,40,76,61,11,45,5,25,45,64,38,32,60,39,41,60,63,58,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,68,12,23,27,14,55,89,67,9,6,0,9,0,41,53,1,10,21,55,34,84,6,0,0,0,47,10,15,91,36,4,0,0,0,0,28,0,0,57,78,101,80,52,43,70,32,8,38,3,3,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,8,74,72,58,64,49,95,56,82,55,97,74,79,59,38,40,7,34,99,84,61,83,13,55,76,29,1,12,19,44,5,11,18,81,88,14,0,0,0,13,52,26,73,95,26,21,0,0,0,0,4,10,12,100,16,1,1,0,0,0,2,1,26,30,24,13,42,44,119,12,58,4,39,63,51,37,56,50,51,34,93,101,72,98,78,56,83,43,68,97,77,82,71,81,90,44,66,51,20,96,89,62,23,0
H2AK9ac,61,91,84,102,112,90,107,88,73,81,58,97,79,72,105,90,94,94,102,104,86,63,81,75,54,43,44,58,34,59,61,44,26,53,65,86,81,72,64,55,63,63,77,98,106,105,93,81,82,104,114,66,55,45,43,42,65,82,80,13,58,5,87,99,111,23,7,26,53,103,75,53,32,0,5,55,103,85,89,95,58,49,31,70,73,25,70,19,87,71,49,69,74,100,91,74,80,79,78,74,87,45,51,62,49,40,63,70,102,85,100,104,97,50,54,72,65,40,48,89,63,56,98,89,100,81,59,35,2,10,16,12,4,43,25,25,16,55,58,46,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,91,63,42,53,69,93,81,75,81,76,81,110,111,80,80,106,82,100,63,52,63,48,40,53,48,58,44,52,57,86,90,71,46,99,78,68,66,53,84,92,95,82,82,106,103,77,66,72,40,31,32,31,14,21,19,13,15,17,24,11,8,22,16,19,18,20,9,14,18,19,27,25,38,46,56,68,75,72,92,89,79,84,86,87,87,65,93,85,85,81,71,63,93,33,80,83,87,78,77,57,58,79,43,39,80,96,80,51,44,30,64,77,79,79,65,87,35,17,22,17,22,43,58,61,97,75,58,63,59,71,62,59,52,62,68,75,64,102,89,109,92,57,66,86,72,71,100,99,86,103,105,104,109,101,104,99,98,97,105,98,112,93,103,101,96,87,69,96,82,106,88,93,104,66,0
MacroH2A1.1,7,16,6,13,9,22,4,9,15,5,5,14,15,9,5,4,8,15,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,10,1,0,0,0,0,5,5,9,19,2,6,7,1,3,3,2,0,0,1,8,11,2,4,8,0,7,12,1,6,0,0,2,8,3,1,0,0,1,8,6,2,3,5,0,0,1,6,2,4,3,2,7,7,4,0,4,3,5,1,0,0,8,7,8,1,0,0,0,0,0,2,3,10,1,4,5,3,7,4,11,4,2,6,6,10,14,8,12,4,5,4,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,1,7,3,5,7,9,4,7,6,5,8,0,3,1,1,0,1,1,0,0,0,0,8,5,7,8,0,2,3,1,4,10,0,1,8,3,11,10,6,13,9,13,0,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,2,1,2,0,0,7,10,14,6,8,7,6,2,3,9,7,3,5,2,7,4,8,4,4,0,10,6,7,5,6,1,9,4,2,0,5,3,3,8,5,9,5,9,7,0,0,0,2,5,3,4,7,8,0,0,0,0,0,0,1,1,4,1,4,2,4,6,7,4,1,1,4,10,5,8,11,12,8,9,9,7,6,2,10,2,8,12,1,3,11,15,6,15,24,10,13,13,5,15,10,9,0
H2AZ,58,91,77,75,83,73,93,80,66,90,48,81,75,69,89,72,84,74,81,93,82,71,85,84,60,51,50,50,54,59,58,34,42,55,74,90,86,84,62,52,61,65,80,98,91,92,90,53,69,96,97,70,58,46,48,57,59,69,57,19,43,9,65,77,79,21,5,23,66,106,84,56,35,0,6,41,82,87,65,82,63,72,31,60,84,30,69,19,67,53,60,80,79,86,70,74,83,88,85,67,81,45,40,66,41,35,75,84,89,74,94,99,75,46,43,58,60,35,50,69,59,50,89,75,87,70,53,31,6,21,14,8,2,43,27,22,12,46,56,46,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48,65,66,33,39,65,91,56,65,73,75,78,78,107,71,79,96,81,94,79,74,86,47,33,50,41,42,35,54,32,74,101,74,59,100,71,54,75,51,66,81,69,80,82,81,86,62,77,70,43,32,29,43,14,16,16,9,13,16,15,11,11,19,15,13,20,16,11,11,18,15,37,28,34,31,56,67,79,81,91,80,68,66,75,61,80,56,82,75,71,54,51,48,77,33,68,77,72,83,70,63,53,86,55,43,68,84,81,58,58,40,54,47,73,71,54,79,41,20,26,20,27,44,59,58,84,72,54,64,62,78,67,81,60,68,71,74,67,73,77,95,101,65,78,94,62,73,72,99,76,91,92,90,72,95,88,95,91,85,86,88,90,87,87,97,86,74,68,79,85,90,84,86,94,53,0
H2BK120ac,14,16,21,13,10,8,16,14,30,11,20,29,23,7,16,21,70,54,22,21,10,0,0,1,0,0,0,0,0,0,0,0,0,0,3,14,32,1,0,0,0,0,11,9,51,47,25,29,37,22,10,3,0,0,0,0,17,22,23,7,15,0,38,31,39,1,0,0,0,15,29,14,0,0,0,8,31,0,17,30,0,0,0,17,16,10,19,6,31,16,6,0,3,8,16,0,0,0,55,18,32,1,1,0,0,0,0,6,15,46,18,5,20,4,8,13,35,24,11,24,13,10,25,20,28,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,22,7,8,8,13,22,45,26,5,3,0,3,1,19,18,2,9,14,25,14,50,2,0,0,1,26,5,7,43,17,1,0,1,1,0,20,0,0,21,23,31,33,18,23,21,15,2,14,1,3,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,6,37,24,32,23,13,57,15,32,23,26,27,28,13,15,20,4,11,38,36,24,34,6,21,28,19,1,4,12,15,3,13,21,25,34,4,0,1,0,5,12,12,29,51,10,15,0,0,0,1,2,3,2,59,11,5,1,0,0,0,7,1,21,15,16,7,15,12,34,1,23,3,18,20,19,18,24,14,13,9,48,51,48,28,24,16,42,26,42,61,28,30,20,40,42,39,14,19,3,23,22,15,8,0
