,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000
CEBPB,3,12,7,1,1,1,0,1,2,3,7,6,7,15,19,11,4,2,5,1,3,7,7,8,7,5,9,6,7,4,8,11,11,11,5,18,9,6,15,15,13,10,6,8,8,7,3,10,4,7,12,4,2,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,5,2,20,23,16,10,24,17,10,9,6,6,7,4,12,4,5,3,3,6,2,0,0,2,1,13,4,3,7,7,4,7,4,3,0,1,4,1,1,3,6,4,14,5,1,3,0,1,2,0,3,7,11,10,5,9,3,10,11,9,12,2,2,1,1,0,0,1,0,1,3,3,2,5,4,5,13,7,5,2,3,11,4,1,1,3,0,3,3,2,2,4,4,7,4,1,13,13,10,3,3,6,4,0,2,4,3,9,17,18,11,6,6,1,7,1,9,7,5,0,3,2,0,2,0,1,1,2,1,4,2,0,10,4,12,13,11,7,21,6,7,5,3,2,23,17,20,13,9,10,4,13,18,13,4,5,3,0,0,4,14,13,6,5,6,11,12,8,11,13,3,1,3,1,2,4,2,2,0,1,0,1,7,9,12,9,15,10,8,4,6,6,5,7,8,18,0,1,1,0,2,2,2,4,5,1,7,3,14,8,12,3,9,12,3,11,6,3,0,16,9,5,15,0,1,0,1,2,1,1,7,6,9,6,4,0
CHD1,0,0,1,0,0,0,0,0,0,0,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1,0,1,0,0,0,1,0,0,0,2,0,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0
CTCF,2,6,6,4,0,0,1,0,3,1,4,7,5,7,7,7,2,0,0,0,5,2,2,6,2,2,5,5,7,2,5,4,2,7,6,4,4,3,9,4,5,1,3,3,3,3,7,6,5,13,9,6,5,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,4,5,2,5,6,5,6,6,4,5,7,6,1,3,1,4,2,3,5,1,3,0,3,3,3,3,0,0,2,1,0,2,0,1,0,0,3,1,4,5,4,2,8,1,1,4,2,3,2,2,3,9,3,5,1,1,6,6,5,9,1,6,5,1,0,0,0,0,0,0,1,3,1,2,1,1,2,4,1,3,6,2,1,0,0,2,7,0,1,1,1,3,1,5,3,7,4,6,5,0,7,3,1,7,5,7,11,8,7,4,3,7,3,5,4,2,5,2,2,0,0,3,3,1,0,1,2,1,2,6,1,5,1,5,6,3,2,3,3,5,2,0,4,2,6,6,9,8,4,5,3,6,5,0,2,2,0,2,4,2,8,4,2,5,8,6,8,2,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,5,4,0,2,1,4,3,6,2,2,0,0,0,0,1,2,4,0,1,2,0,6,4,6,5,3,4,3,2,1,3,6,5,10,6,0,1,1,0,0,0,1,2,5,3,3,7,2
DNase-seq,5,35,15,10,0,0,0,0,3,6,15,26,17,30,27,29,3,0,0,0,3,11,20,12,15,2,19,20,12,3,17,20,17,28,21,47,17,27,45,36,29,24,19,20,25,16,11,29,12,31,36,15,15,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,9,15,8,33,34,26,28,41,28,31,26,22,16,27,20,22,14,11,5,7,21,0,0,0,1,4,29,10,2,12,13,10,4,3,0,1,0,0,1,5,6,5,8,19,6,2,2,1,5,8,2,1,10,20,20,19,22,8,21,27,22,33,3,6,4,0,0,0,0,0,1,2,14,8,3,12,4,11,17,12,0,7,17,2,0,0,2,1,4,4,4,1,6,12,10,10,12,41,32,20,5,8,14,0,0,9,4,13,45,57,31,23,21,18,2,11,2,15,18,0,0,0,0,4,2,1,0,1,0,1,9,10,0,17,16,26,35,24,25,35,13,15,7,2,8,40,32,41,37,40,31,12,25,51,36,5,4,0,2,2,10,27,25,18,15,22,19,7,19,11,17,0,1,0,0,0,0,0,0,0,0,0,0,13,27,20,13,13,22,21,5,3,6,10,15,22,25,1,4,0,0,1,0,0,2,1,0,9,21,33,15,25,10,21,27,18,16,6,0,3,36,19,23,36,0,0,0,0,0,0,0,10,20,27,24,20,3
EP300,0,11,0,0,0,0,0,0,1,1,2,1,4,11,16,4,0,0,0,0,1,1,1,2,2,0,8,3,2,0,2,3,4,2,5,17,8,6,6,10,14,3,1,6,5,7,2,8,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,9,15,6,5,9,2,5,6,2,2,9,1,4,5,4,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,2,7,3,4,4,0,9,3,4,6,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,3,2,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,4,2,13,9,3,0,0,1,0,0,1,0,1,20,16,8,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,2,6,7,5,7,3,3,1,0,0,15,5,10,7,9,4,1,8,17,9,0,0,0,0,0,1,5,3,2,2,2,3,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,3,3,6,5,1,0,1,1,4,3,11,0,0,0,0,0,0,0,0,0,0,3,2,7,2,3,2,3,8,2,6,2,0,0,6,4,1,16,0,0,0,0,0,0,0,1,5,3,3,0,0
H2AK5ac,10,77,32,12,0,0,0,0,7,48,47,64,75,78,72,96,4,0,0,0,2,21,28,30,32,0,56,65,40,1,56,82,89,56,59,87,83,87,104,98,98,84,36,69,93,32,11,93,30,67,75,69,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,14,29,11,120,94,63,88,104,78,95,99,86,54,106,69,85,53,35,8,0,33,0,0,0,0,2,81,11,2,22,37,37,12,2,1,0,0,0,0,5,2,2,8,49,0,0,0,0,3,11,0,1,11,67,70,35,75,11,61,65,103,55,2,10,1,0,0,0,0,0,0,0,33,16,3,35,39,63,57,39,0,8,29,1,0,0,0,0,5,3,6,0,18,40,29,30,26,75,72,43,0,10,9,0,0,13,1,8,89,87,64,58,33,37,1,9,0,10,24,0,0,0,0,0,0,0,0,0,0,1,18,12,0,70,63,50,105,89,81,107,61,18,29,1,7,88,109,120,73,89,109,22,68,109,94,3,2,0,0,0,19,95,102,30,16,54,58,41,21,52,38,0,0,0,0,0,0,0,0,0,0,0,1,32,72,87,65,68,97,65,7,9,15,48,64,81,45,0,0,0,0,2,0,0,0,1,0,16,61,107,53,78,12,83,100,77,53,25,0,1,75,47,53,60,0,0,0,1,0,3,0,15,46,54,49,49,7
H2AK9ac,32,73,62,56,23,19,12,23,30,39,40,67,73,58,77,71,30,26,13,32,32,51,56,64,54,45,60,54,72,62,71,53,59,88,84,100,44,54,73,77,92,98,63,68,73,61,59,75,51,86,64,79,80,82,78,53,36,8,4,32,4,2,0,0,0,0,0,0,0,0,0,0,0,0,35,34,58,51,79,68,46,41,66,99,69,73,67,69,77,66,53,37,49,41,39,31,80,47,31,13,28,27,43,29,22,18,24,31,22,26,10,12,14,10,24,31,47,41,42,52,40,34,12,13,20,26,14,24,21,50,56,65,68,50,54,83,84,64,30,91,103,48,29,22,35,25,20,29,30,31,13,18,12,25,23,26,26,39,28,25,16,14,11,14,22,14,18,17,37,64,58,60,81,72,77,86,93,66,47,73,71,56,101,92,93,88,50,48,87,83,84,63,83,66,70,43,49,36,29,22,33,28,15,17,12,24,48,41,16,44,50,52,39,53,51,63,55,29,56,64,61,80,87,87,91,80,92,58,62,77,68,34,24,17,19,24,49,70,71,32,81,63,73,83,63,53,48,33,13,13,6,14,8,10,14,11,12,13,15,27,27,35,34,24,43,30,31,28,22,43,58,52,60,26,25,19,21,19,21,20,34,38,32,30,37,57,91,78,85,44,64,94,85,71,59,71,83,83,89,88,51,54,51,57,67,98,87,62,97,104,89,85,4
MacroH2A1.1,8,9,6,2,0,0,0,0,0,4,6,2,7,7,4,5,0,0,0,0,0,7,8,7,5,1,4,5,1,4,0,6,1,6,4,3,0,3,9,13,5,6,5,4,3,2,3,11,3,8,2,4,8,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,1,10,1,3,7,4,5,3,3,5,4,8,8,4,0,1,2,4,11,0,0,0,0,4,7,3,0,0,0,0,2,0,0,1,0,0,0,4,0,1,2,3,3,1,0,0,9,4,0,0,3,6,8,3,4,1,5,9,1,8,1,3,5,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,2,2,0,1,1,7,11,9,2,3,5,0,0,7,1,4,5,10,7,3,9,8,0,5,0,8,7,0,0,2,0,0,0,0,0,0,0,0,2,7,0,8,4,0,0,1,2,4,0,0,0,0,6,7,5,2,10,1,1,5,7,3,5,0,1,0,0,2,6,3,1,1,7,3,1,6,8,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,4,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5,1,5,10,5,2,0,0,2,7,9,12,0,0,0,0,0,0,12,5,10,18,14,7,2
H2AZ,27,73,62,52,22,18,11,25,35,66,50,52,83,61,74,74,40,22,21,34,33,52,65,72,74,62,62,62,82,72,59,42,46,90,74,74,42,43,59,65,81,88,64,63,73,78,61,92,53,79,46,64,68,92,80,72,34,19,9,34,6,3,0,0,0,0,0,0,0,0,0,0,0,0,24,46,43,44,79,77,50,55,59,94,63,80,57,66,85,63,55,40,60,63,42,50,73,34,39,20,25,39,33,35,25,43,41,52,37,35,20,15,15,16,20,26,63,47,57,57,42,47,9,22,27,21,20,32,29,65,53,51,57,52,45,69,91,53,22,79,89,55,25,21,23,21,23,31,39,41,24,29,35,36,47,37,39,47,35,30,18,9,17,14,28,17,24,20,38,77,46,73,92,77,63,72,87,68,50,84,75,51,100,92,85,95,48,34,76,78,96,72,85,78,45,53,54,37,23,39,28,26,17,12,11,21,32,50,10,49,55,52,28,76,59,66,74,26,53,79,67,52,86,79,79,82,68,61,49,68,77,41,34,19,19,40,56,69,69,17,78,59,63,79,68,67,72,32,15,15,19,10,8,17,17,16,13,14,12,46,38,45,53,41,64,49,42,47,34,67,63,45,71,38,22,21,16,18,19,25,29,49,39,48,44,65,90,77,93,35,60,79,85,79,53,74,76,85,70,83,55,65,51,66,77,98,89,65,74,87,87,68,7
H2BK120ac,2,35,11,5,0,0,0,0,6,38,25,21,32,26,45,47,1,0,0,0,1,10,11,7,14,0,31,39,27,0,36,28,24,21,31,44,45,44,50,46,59,41,20,36,44,18,2,36,12,24,28,25,7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,11,2,40,53,32,45,61,31,36,44,35,33,58,25,36,24,20,3,0,17,0,0,0,0,3,59,12,4,20,24,14,8,4,2,0,0,0,0,6,7,0,4,25,0,0,1,0,4,8,1,0,9,38,33,16,27,5,21,34,47,40,0,4,0,0,0,0,0,0,0,0,25,12,2,30,37,54,48,35,0,6,15,3,0,0,1,0,1,9,6,0,10,22,12,12,12,40,32,20,1,7,5,0,0,8,1,2,43,49,43,24,16,13,1,3,0,4,9,0,0,0,0,0,5,0,0,0,0,0,7,7,0,45,31,20,53,48,45,65,32,11,13,0,2,41,46,49,23,36,42,9,28,65,48,4,3,0,2,0,11,39,47,12,12,27,31,16,17,32,23,0,0,0,0,0,0,0,0,0,0,0,0,22,36,43,43,47,65,52,8,7,14,30,29,51,31,0,0,0,0,1,0,0,0,0,0,15,28,63,36,39,7,46,56,26,22,12,0,4,31,17,16,27,0,0,0,0,0,1,0,5,9,9,8,20,3
