,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,11,2,5,16,8,1,3,4,3,0,9,7,0,1,1,2,0,0,1,2,1,2,2,1,7,6,2,5,0,1,1,1,2,1,1,0,3,10,1,2,5,6,8,5,11,7,2,13,12,10,13,10,5,19,16,9,11,28,2,3,5,1,4,1,3,9,3,6,3,6,9,5,1,7,19,12,6,6,17,20,15,16,20,8,6,7,7,7,18,12,10,12,3,19,3,18,18,8,2,2,1,0,2,4,1,9,3,6,12,8,5,5,7,5,18,15,3,10,3,0,15,13,9,9,9,10,2,3
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,1,1,3,1,0,2,0,0,1,2,0,1,0,3,1,2,0,1,1,0,1,1,1,2,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2,3,2,1,2,1,0,3,2,3,2,6,3,0,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,2,0,4,2,4,1,3,0,2,1,4,2,3,1,1,0,0,0,0,0,0,0,0,0,5,3,0,1,2,0,0,1,0,0,0,1,6,0,1,0,2,4,5,5,3,2,0,14,4,2,4,3,2,3,3,6,5,8,2,1,1,2,1,1,3,3,4,4,3,3,7,4,4,8,6,0,5,10,13,10,6,2,5,1,6,5,9,6,11,4,6,6,3,9,2,7,2,10,5,5,1,1,2,1,2,4,1,6,8,6,7,3,7,8,7,9,5,6,5,6,8,11,9,4,6,11,0,3
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,1,1,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,5,35,5,4,27,15,8,17,5,4,1,25,8,4,0,0,0,0,0,0,0,0,0,0,0,7,16,5,7,0,0,0,1,0,0,0,1,8,8,1,2,3,13,21,16,26,12,4,26,18,28,29,22,15,26,33,25,29,51,16,4,0,1,0,0,4,34,5,22,14,16,37,14,11,19,33,23,23,16,32,38,47,45,34,16,23,31,23,30,23,24,17,28,4,29,6,33,42,25,12,6,1,1,0,1,2,23,7,25,25,22,10,10,20,21,35,41,22,29,4,8,37,45,35,18,44,29,14,9
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,3,1,0,3,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,2,2,5,0,5,3,4,4,5,5,8,4,5,1,20,5,1,0,0,0,0,0,4,1,1,5,2,4,3,0,4,4,4,4,4,4,12,15,16,6,3,4,4,4,6,8,10,2,7,1,12,0,14,23,5,0,1,0,0,0,0,0,0,1,3,13,4,0,1,7,4,8,14,0,3,1,0,15,8,10,4,20,3,0,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,78,0,5,66,24,11,20,6,5,2,57,19,0,0,0,0,0,0,0,0,0,0,0,0,1,27,5,8,0,0,0,0,0,0,0,0,6,7,0,1,4,20,36,18,66,27,0,57,102,111,104,85,66,116,96,97,62,106,65,23,0,0,0,0,8,51,0,30,39,29,64,20,7,41,46,88,69,38,71,87,97,112,111,85,52,94,55,86,67,62,52,61,13,72,4,66,73,43,15,11,0,1,0,1,0,21,12,49,74,58,3,35,67,57,83,76,58,60,7,14,74,80,69,40,80,62,25,21
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,41,8,7,17,53,56,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,12,26,20,22,27,47,33,40,41,29,27,18,12,17,23,56,52,31,17,13,18,13,15,9,8,14,9,16,15,17,21,11,26,23,15,16,13,13,13,7,15,23,27,17,13,22,31,52,55,57,38,39,47,37,29,38,28,17,40,48,53,53,73,55,43,24,24,26,18,41,87,70,66,99,78,91,49,81,90,65,69,74,74,86,86,78,73,63,75,78,87,88,94,77,82,72,93,68,60,73,90,96,59,69,81,51,58,53,57,65,92,76,100,102,104,105,84,100,81,96,89,106,90,102,85,94,96,90,67,81,85,108,33
MacroH2A1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,4,1,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,3,10,3,1,1,5,6,2,5,0,0,0,2,2,5,4,1,0,1,0,0,0,1,7,4,9,2,7,7,6,4,10,3,3,7,3,13,2,3,4,0,0,10,7,6,7,6,7,0,9,5,4,8,7,12,10,5,1,0,0,0,0,4,4,3,12,12,5,1,15,8,9,22,15,2,14,11,4,15,14,24,16,10,6,5,8
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,36,12,10,18,52,57,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,23,40,25,22,22,31,43,41,38,48,36,26,24,18,29,56,57,30,16,7,14,15,16,16,9,16,15,26,13,20,33,31,45,27,12,22,21,14,14,18,22,41,39,23,23,28,48,62,46,35,38,39,41,47,50,47,40,38,51,51,55,46,74,46,48,20,23,25,21,52,96,77,57,81,73,88,49,91,82,49,39,77,74,75,83,74,80,76,98,80,78,91,77,67,62,62,86,73,70,77,76,98,53,63,73,75,65,62,69,69,84,74,80,91,92,98,72,86,67,74,71,83,81,87,81,81,84,80,64,76,70,84,26
H2BK120ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,13,41,0,2,38,18,12,11,10,8,2,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,14,5,0,0,0,0,0,0,0,13,21,1,2,2,22,27,14,21,17,1,32,50,78,69,52,52,62,55,39,36,56,30,11,0,0,0,0,3,27,0,11,23,11,37,9,2,16,16,33,32,17,24,43,74,56,59,34,21,39,30,51,28,23,22,33,2,47,3,41,52,27,8,5,0,0,0,1,2,10,8,26,42,28,1,17,32,12,28,33,16,11,5,6,46,36,48,13,47,24,9,8
H2BK12ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,18,43,3,2,56,23,10,15,9,10,2,33,12,0,0,0,0,0,0,0,0,0,0,0,0,2,31,6,14,4,0,0,0,0,0,0,0,8,21,0,1,4,24,33,20,47,20,3,41,74,81,76,70,64,63,65,57,37,66,38,22,0,0,0,0,3,33,0,15,23,14,45,13,4,22,30,49,38,17,38,60,67,70,66,33,34,51,27,50,35,32,37,32,4,47,3,42,50,28,10,7,0,0,0,3,1,11,6,26,46,27,0,13,39,21,45,38,22,17,3,5,35,43,46,15,51,26,10,7
H2BK15ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,22,58,5,8,56,26,23,21,15,13,2,45,15,1,0,0,0,0,0,0,0,0,0,0,0,5,35,9,17,2,0,0,0,0,0,0,0,9,19,1,1,4,26,47,25,48,23,2,51,96,98,103,92,80,86,79,67,60,73,74,40,0,0,0,0,8,45,0,19,38,25,55,22,3,34,32,77,58,38,46,84,68,92,88,77,39,57,48,66,42,43,50,54,16,55,5,44,61,41,13,9,1,1,0,1,2,14,8,33,73,45,2,22,56,23,62,48,25,23,3,9,57,61,65,23,58,29,19,14
H2BK20ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,12,53,3,6,52,32,12,15,17,12,2,33,16,0,0,0,0,0,0,0,0,0,0,0,1,2,37,12,14,2,0,0,0,0,0,0,0,18,30,1,2,3,25,36,20,45,22,1,41,73,91,73,77,58,80,79,60,53,76,42,15,0,0,0,0,9,30,1,22,30,20,48,12,3,30,25,46,44,23,30,57,80,81,85,53,39,44,41,63,39,42,29,47,8,47,5,46,62,26,9,3,0,1,0,3,2,16,7,26,56,33,0,13,40,15,48,44,21,18,4,7,54,46,59,18,51,27,19,8
