,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,10,6,10,1,4,4,7,8,3,1,1,14,4,6,0,4,13,8,4,3,7,5,6,1,7,4,11,14,5,1,4,6,4,0,2,14,15,4,20,3,5,8,6,11,8,13,10,6,12,14,22,3,6,6,14,8,9,3,4,5,14,3,2,3,4,3,2,2,0,1,4,17,19,13,9,14,4,6,11,11,11,8,17,2,14,4,11,11,3,7,11,19,8,15,7,11,6,5,7,3,13,17,4,0,1,10,4,11,9,3,18,10,13,6,5,6,5,8,2,1,1,0,0,0,0,0,0,2,4,4,7,8,3,0
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1,1,2,2,0,0,2,3,2,0,1,1,0,0,0,1,1,2,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,1,1,2,4,3,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,5,0,2,1,6,1,2,1,1,5,1,4,1,3,0,4,2,0,0,1,0,3,2,1,1,1,1,0,0,4,1,1,1,0,0,0,2,2,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,5,1,2,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,4,6,6,4,6,9,10,13,12,4,0,10,6,5,0,6,5,15,11,13,18,5,12,7,14,5,16,7,6,8,5,6,4,0,2,8,8,1,2,2,9,10,2,3,4,5,10,7,10,4,13,9,7,10,13,4,4,10,4,6,9,6,4,3,1,2,1,0,0,1,6,11,8,5,12,9,4,10,14,13,19,12,12,2,9,11,15,15,2,6,4,6,7,5,4,13,6,8,5,8,11,8,8,3,7,13,3,4,11,7,10,8,5,10,6,6,8,3,4,0,1,0,0,2,0,0,0,0,4,10,13,12,14,0
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,1,22,30,23,9,20,22,15,38,24,8,3,30,24,30,0,16,25,22,12,13,16,13,33,8,27,16,39,38,16,4,4,29,10,0,3,24,30,6,27,21,16,35,19,21,21,29,24,17,32,28,52,21,23,23,39,19,26,14,2,20,52,11,2,19,13,12,0,0,0,0,16,34,32,42,38,56,13,14,46,41,49,30,51,23,37,18,40,34,11,11,23,36,27,20,17,36,18,22,21,15,41,51,18,3,10,30,22,26,30,13,33,35,34,34,25,28,30,20,15,0,0,0,0,1,0,0,0,0,14,20,44,26,20,0
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,8,0,2,3,2,6,1,0,1,5,3,2,0,1,4,4,0,0,4,1,2,0,0,4,10,10,3,0,0,1,2,0,1,3,10,2,14,10,4,3,3,1,2,3,5,0,7,3,14,2,3,3,5,6,5,0,0,8,17,1,0,1,2,2,0,0,0,0,3,9,9,8,8,24,3,1,7,11,13,3,13,1,2,2,9,7,2,2,5,6,3,2,5,10,4,0,1,0,11,7,2,0,3,7,7,9,7,1,9,20,6,6,1,2,5,1,3,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,65,67,43,9,27,35,52,85,44,19,15,56,46,75,0,32,84,57,10,3,11,8,44,9,63,56,75,95,42,0,1,31,13,0,2,50,90,14,47,76,82,88,72,67,80,85,57,32,74,100,66,50,75,56,86,58,71,43,0,45,66,4,1,19,44,20,0,0,0,0,17,94,87,106,96,66,17,21,59,92,81,67,110,35,65,49,77,79,49,44,82,113,82,55,68,87,45,42,33,22,104,99,41,2,19,58,50,95,56,11,93,61,87,81,41,55,84,54,31,0,0,0,1,2,0,0,0,1,20,32,76,52,39,0
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,14,46,91,61,85,105,55,40,92,86,100,94,95,25,12,88,82,67,1,38,82,68,73,67,82,89,76,82,100,56,81,98,54,96,75,72,85,82,81,98,92,101,82,114,105,64,37,33,70,78,79,84,98,60,78,102,92,81,72,83,86,94,65,78,92,74,58,78,92,65,43,39,47,76,87,123,58,64,96,105,101,92,82,96,98,107,100,72,85,86,100,106,74,60,77,71,76,80,90,91,83,84,79,90,86,109,103,93,64,95,87,99,94,109,83,80,75,90,99,104,102,107,93,77,80,70,95,100,98,88,91,93,96,70,82,77,76,0
MacroH2A1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,2,6,5,6,5,12,4,3,11,11,5,1,10,5,11,0,5,8,5,8,5,5,10,7,8,6,12,12,9,5,0,3,8,3,0,2,9,9,6,7,2,3,2,2,2,8,10,10,4,7,4,17,9,7,7,11,3,8,10,0,11,6,6,2,5,2,0,0,0,0,0,5,13,8,1,6,12,9,14,9,22,15,9,11,6,16,14,11,14,4,4,4,1,2,8,6,11,4,7,7,8,10,7,6,3,5,6,8,7,17,5,7,10,2,17,12,9,10,1,4,4,0,0,0,5,0,0,0,4,6,22,11,10,13,0
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,10,22,39,77,68,63,94,52,41,81,70,71,70,71,24,12,78,72,62,4,36,65,81,67,69,73,75,82,84,81,55,66,80,62,95,80,74,89,79,84,96,95,93,90,95,92,51,26,23,45,66,79,83,78,46,82,105,77,73,63,59,64,82,75,72,93,78,72,84,83,62,54,41,50,79,89,95,54,46,92,87,80,83,71,83,90,78,95,56,83,85,88,76,54,61,69,40,53,66,70,74,79,84,72,80,83,85,83,95,73,87,83,87,79,89,77,79,54,70,84,94,82,84,85,82,85,77,90,88,85,90,102,93,87,62,79,76,58,0
H2BK120ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,21,21,31,3,12,16,18,32,13,5,6,27,17,18,0,6,24,27,3,2,5,2,18,4,25,11,40,37,20,0,0,11,6,1,1,27,36,7,28,29,24,37,29,17,17,21,12,11,23,31,41,12,24,17,38,26,32,7,1,27,44,0,1,8,13,9,0,0,0,0,11,39,29,48,32,38,3,4,28,44,46,20,44,6,27,15,47,23,16,5,27,49,34,15,29,30,22,17,4,9,47,25,13,0,9,18,24,40,36,11,42,20,30,27,14,15,25,11,15,0,0,0,1,0,0,0,0,0,6,14,24,17,17,0
