,start row,start col,chr1,chr2,stop row,stop col
0,66500000,101500000,9,X,66750000,101750000
1,67250000,38500000,9,X,67500000,38750000
2,67250000,38750000,9,X,67500000,39000000
3,68750000,142500000,9,X,69000000,142750000
4,40750000,6500000,9,X,41000000,6750000
5,67250000,122000000,9,X,67500000,122250000
6,68000000,34250000,9,X,68250000,34500000
7,68750000,34500000,9,X,69000000,34750000
8,0,101500000,9,X,250000,101750000
9,44250000,127750000,9,X,44500000,128000000
10,40500000,32000000,9,X,40750000,32250000
