,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,5,3,0,0,3,2,2,0,0,4,2,6,6,11,0,0,0,3,0,2,0,1,1,1,0,5,5,7,3,16,2,0,5,5,6,9,8,2,1,0,9,28,16,4,3,5,13,3,3,10,4,11,14,4,6,10,5,5,10,1,1,8,9,6,9,12,16,23,15,19,16,9,6,9,11,10,11,9,7,8,7,4,4,3,4,8,12,4,4,4,4,11,4,3,3,2,0,1,2,9,11,1,5,10,19,18,11,12,14,13,9,8,5,14,10,7,7,12,17,9,9,0,1,1,4,1,1,0,0,2,2,11,3,7,4,6,4,17,18,7,8,1,4,16,15,10,9,9,4,3,2,16,11,10,1,3,2,3,4,9,10,19,17,20,21,6,8,10,12,7,8,5,9,14,1,8,10,16,37,9,5,4,8,14,13,6,7,8,7,10,10,4,12,25,5,16,8,7,6,10,9,9,8,5,7,7,6,9,13,5,7,5,11,10,8,4,4,8,9,14,5,3,12,5,0,8,6,1,4,7,13,4,12,10,17,14,1,10,15,0,0,4,4,9,7,3,2,6,1,5,8,7,11,18,5,1,1,1,1,1,2,1,12,1,4,11,6,17,7,5,4,8,16,11,7,5,1,10,6,6,0,2,12,2,0,0,2,6,8,2,1,9,12,12,9,6,15,0,0,1,1,0,2,3,3,7,25,12,9,11,2,4,2,6,6,24,9,5,3,0
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,4,2,0,0,0,2,2,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,2,1,2,1,0,0,2,0,0,0,0,2,0,0,2,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,0,0,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,2,2,2,0,0,0,0,0,0,2,2,1,0,0,1,2,1,1,0,2,1,2,1,0,0,2,2,0,0,1,1,2,2,0,0,0,2,1,1,4,2,3,3,2,3,0,0,0,1,0,0,0,2,0,3,0,0,4,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,2,0,1,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,1,1,3,3,0,0,0,3,2,3,6,7,2,1,0,6,2,1,1,0,7,1,0,10,9,1,3,6,4,0,1,4,4,6,6,1,2,0,4,4,6,4,4,5,6,6,4,3,3,4,1,2,1,3,2,2,4,1,1,5,5,6,8,6,4,1,9,8,7,17,6,16,4,3,10,6,8,2,5,4,3,7,4,8,4,5,9,8,9,8,10,4,1,3,0,0,2,1,4,2,4,8,4,4,5,5,5,3,8,3,3,4,3,6,6,9,6,4,6,4,1,0,0,1,2,0,0,0,4,6,5,6,4,4,2,4,3,6,9,5,4,7,0,6,6,3,9,3,3,7,6,2,3,1,0,3,5,6,7,7,9,5,9,6,9,3,5,10,11,13,6,9,2,4,10,10,5,6,3,5,1,8,10,5,6,6,8,6,3,2,14,6,7,5,5,8,3,7,10,6,2,8,8,7,10,11,7,12,6,7,12,11,6,4,1,4,9,1,9,10,13,9,5,14,6,8,3,5,6,8,6,5,10,7,1,3,7,2,1,1,3,5,3,7,2,5,4,7,11,4,6,5,7,0,1,1,1,0,0,3,1,1,8,11,9,10,13,8,8,8,9,7,6,5,5,2,5,6,3,2,7,4,0,0,0,3,4,2,0,2,4,0,0,1,5,2,0,0,2,0,4,2,7,8,7,4,8,3,4,1,5,6,7,9,8,5,3,0
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,14,11,1,0,4,1,1,3,0,16,1,12,13,26,2,0,0,3,1,1,3,2,13,1,0,10,24,7,14,40,4,0,7,12,20,22,15,2,1,0,23,49,46,6,5,15,27,19,17,27,18,20,22,14,12,21,24,22,23,0,1,19,20,31,27,28,39,44,42,43,39,38,15,38,24,20,26,36,16,13,20,17,17,16,17,30,25,14,17,10,20,14,29,3,6,2,0,0,2,14,14,14,13,30,51,37,27,26,25,17,22,19,10,24,22,17,8,30,38,28,27,4,0,0,0,0,3,0,0,0,4,23,17,27,10,10,8,25,34,28,14,10,4,31,23,26,19,27,16,3,6,32,26,24,19,4,1,4,15,20,30,44,69,44,37,23,20,26,38,35,29,31,21,28,3,14,27,52,66,13,16,20,18,45,46,18,20,32,18,19,30,11,36,46,43,46,24,25,17,15,19,14,15,16,29,29,37,32,31,28,29,13,35,27,17,18,12,15,24,21,27,11,39,15,6,28,12,14,12,14,31,15,38,38,32,25,11,18,31,4,0,5,7,16,21,6,5,12,4,25,29,26,32,41,16,0,0,0,0,2,7,8,19,0,13,28,19,53,17,16,27,33,35,36,28,9,10,18,16,12,2,7,36,8,0,0,2,12,16,0,2,17,28,19,15,20,40,1,2,0,1,0,2,3,3,18,49,25,25,28,6,13,4,16,31,50,26,14,15,0
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,1,0,0,1,3,1,1,10,0,0,0,3,2,6,3,0,0,0,6,21,11,0,0,0,4,3,1,5,4,4,6,0,3,4,2,7,5,0,0,2,3,6,2,11,15,17,11,8,10,7,1,2,6,3,3,7,0,2,1,1,1,2,3,4,2,1,2,2,2,3,5,0,1,0,0,0,0,10,5,4,1,5,12,8,4,8,2,4,10,3,0,6,4,3,1,6,6,2,2,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,3,3,2,6,5,0,1,11,9,6,5,2,1,0,1,12,1,2,5,0,0,0,0,6,8,11,18,6,9,3,2,5,2,7,4,3,2,3,0,2,2,16,38,1,3,3,1,17,12,1,2,5,3,6,8,2,8,13,6,14,4,4,1,8,0,3,3,3,4,7,7,3,3,2,3,3,6,4,5,1,2,0,5,3,4,0,15,0,0,5,3,1,2,2,4,3,13,5,7,5,1,4,10,0,0,0,2,2,3,0,0,2,0,0,3,5,5,4,0,0,0,0,0,0,3,0,6,0,0,5,2,9,2,0,5,10,3,6,1,1,0,3,1,1,0,0,10,0,0,0,0,1,1,0,0,0,9,4,4,3,12,0,0,0,0,0,0,1,0,3,16,7,6,6,0,2,0,2,13,15,2,5,5,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,1,0,1,0,0,0,0,6,0,20,31,64,5,0,0,0,0,0,1,2,11,2,0,29,50,8,17,89,5,0,15,15,53,55,27,0,0,0,34,93,79,0,0,22,47,58,23,53,73,45,69,39,49,96,73,89,43,0,0,46,69,76,62,94,96,95,95,122,68,89,33,70,48,28,81,71,26,57,45,44,29,23,23,62,87,50,32,14,33,24,48,1,9,1,0,0,4,83,59,35,17,62,121,99,88,92,81,77,70,43,26,42,60,46,14,70,93,55,43,8,0,0,0,0,0,0,0,1,2,49,23,51,41,7,20,76,89,57,39,2,4,95,90,58,50,80,15,0,8,51,69,90,37,0,0,1,17,29,103,85,102,110,72,55,56,69,92,79,44,69,47,62,2,32,87,75,54,41,39,38,41,78,80,28,65,89,35,69,55,29,75,87,95,98,74,50,42,28,29,45,64,30,45,30,47,51,75,55,55,18,51,65,21,44,23,21,83,46,33,9,63,30,4,68,23,16,16,31,77,40,70,111,91,70,18,44,78,7,0,6,8,29,35,1,3,12,2,49,69,76,77,98,31,0,0,0,0,0,7,0,38,0,1,40,52,91,24,26,51,88,86,93,61,15,3,37,26,8,0,2,54,16,0,0,1,21,36,0,0,22,76,84,65,62,62,0,0,0,0,0,0,8,0,75,106,81,66,62,13,17,0,36,69,85,37,36,54,2
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,51,25,11,2,1,0,15,2,30,32,91,37,1,25,36,37,17,11,29,40,68,27,86,78,68,44,60,43,59,43,70,66,63,19,1,42,87,72,71,59,36,0,15,52,87,101,53,53,46,1,28,66,73,55,64,69,53,40,23,49,45,33,35,33,33,40,41,48,39,16,20,50,41,41,57,67,59,67,54,50,74,97,70,95,79,89,85,84,97,71,80,60,47,76,41,72,50,51,58,36,67,47,73,63,27,34,16,18,18,35,68,63,47,57,61,56,43,44,24,39,37,66,50,46,51,68,28,62,75,67,44,59,27,36,23,21,16,12,14,19,40,55,42,58,43,28,33,42,33,66,91,70,44,81,63,52,69,92,49,60,40,65,51,69,79,46,51,51,44,71,77,91,84,81,62,65,75,51,54,98,73,96,64,66,109,81,89,104,91,42,36,75,53,78,89,71,81,75,91,89,96,101,78,63,61,82,61,54,46,72,43,80,57,70,42,101,77,98,76,84,89,62,73,70,70,56,29,39,75,28,105,98,86,87,62,83,99,73,72,65,72,76,90,97,68,82,42,67,76,7,0,12,64,83,60,55,46,50,18,47,82,60,47,51,87,55,36,21,29,22,21,46,81,87,84,83,101,91,97,85,74,83,76,80,76,76,44,69,73,102,78,77,77,76,68,40,39,38,42,47,30,34,47,37,41,75,77,43,38,31,23,21,38,55,67,71,87,77,66,52,47,99,60,69,87,91,93,89,31,2
MacroH2A1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,1,2,3,3,1,0,0,0,0,0,0,1,2,3,1,2,9,5,6,1,1,0,1,6,6,4,5,4,0,1,3,3,6,0,0,0,6,10,5,5,4,3,4,0,4,0,3,4,4,0,0,0,1,4,1,0,0,0,7,7,10,12,11,12,4,2,15,7,3,6,6,4,5,0,5,8,7,2,4,5,10,3,12,0,0,0,0,0,0,5,0,4,3,4,1,9,6,7,6,0,0,3,4,5,4,7,3,10,10,5,5,3,0,0,0,0,3,0,0,0,1,10,8,1,2,2,7,3,0,3,4,4,3,3,6,9,3,0,1,5,6,8,4,5,1,2,0,1,2,2,8,6,10,7,6,2,3,5,2,6,9,8,5,6,3,6,2,6,2,0,9,3,0,14,8,7,6,2,2,3,6,3,9,8,2,5,5,4,2,10,5,3,3,12,7,5,6,7,12,7,8,5,7,7,3,1,7,10,6,0,13,3,14,5,7,10,4,6,6,6,7,5,8,13,12,5,1,3,9,1,0,4,5,5,3,5,1,2,5,2,7,3,4,4,2,0,0,0,0,0,2,2,4,0,3,6,2,7,6,7,6,5,9,10,12,1,2,6,3,5,1,3,1,3,0,0,0,5,3,0,0,6,3,2,6,4,10,1,0,0,0,0,0,2,1,3,3,5,2,2,3,2,1,4,4,7,12,4,7,2
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43,18,12,1,1,0,15,2,38,33,84,32,5,29,42,44,21,7,28,47,44,30,82,83,80,52,55,47,67,54,77,71,63,27,5,46,86,85,68,59,38,1,18,51,76,71,61,52,47,0,27,31,57,64,73,67,45,37,29,48,54,31,37,54,49,70,47,55,38,25,23,68,40,32,63,65,61,57,66,42,63,70,77,73,57,52,57,74,86,56,48,43,40,67,23,56,45,43,41,47,68,63,73,67,36,28,20,18,18,79,89,66,61,51,52,56,32,26,32,46,50,53,33,52,58,71,23,46,57,64,29,56,33,44,21,20,20,14,21,23,39,48,57,44,48,26,37,40,10,63,87,79,42,84,55,34,55,74,58,61,60,46,57,73,71,42,60,45,42,79,65,82,74,75,37,61,59,26,35,81,53,80,45,51,112,69,74,93,66,40,35,74,45,74,86,60,72,66,86,90,90,88,63,54,51,59,58,40,52,59,32,67,57,61,30,83,63,88,68,81,76,48,55,59,62,51,24,28,54,11,67,82,85,92,66,68,83,64,75,80,65,79,73,76,62,77,45,72,51,6,0,16,57,67,64,60,62,58,26,31,76,48,51,36,85,63,44,24,43,26,30,47,88,84,94,66,93,77,77,77,76,91,70,62,74,80,74,82,78,94,82,77,66,75,78,50,43,40,36,52,27,51,70,61,68,76,64,43,33,35,18,28,50,63,76,67,70,78,45,44,49,84,72,63,75,75,72,73,34,1
H2BK120ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,4,0,0,1,0,1,1,0,7,0,7,11,39,4,0,0,0,0,0,0,2,2,0,3,12,21,5,11,52,3,0,12,7,15,32,18,0,0,0,30,42,36,0,0,11,13,19,13,28,39,34,40,20,33,57,41,60,29,3,0,36,23,27,31,52,39,44,53,68,37,28,15,31,27,15,31,25,7,22,16,13,13,8,12,39,49,21,11,7,14,14,21,2,9,3,0,0,2,38,33,25,11,34,72,66,31,40,52,41,39,23,15,20,28,13,5,35,41,26,31,3,0,0,0,0,0,0,0,1,1,31,10,23,22,6,13,41,49,30,10,0,2,60,41,22,23,36,6,0,9,27,21,30,18,1,0,0,6,13,48,49,61,49,33,22,14,26,30,29,18,15,14,18,0,7,25,61,43,12,19,14,11,42,46,6,18,49,8,23,17,2,36,48,45,56,28,23,9,13,13,23,33,16,14,16,27,18,20,16,20,12,16,28,17,14,12,8,38,17,13,7,28,14,1,26,14,7,8,10,36,14,42,29,34,33,12,22,38,2,0,2,5,15,17,0,3,4,0,20,23,36,36,48,4,0,0,0,0,0,5,1,21,0,0,15,29,44,10,11,29,34,38,26,24,7,2,19,10,1,0,2,37,3,0,0,1,7,25,0,0,11,37,47,36,25,27,0,0,0,0,0,0,5,0,33,51,37,40,29,5,12,0,18,42,46,22,21,29,1
